"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 55370738900 (i) on (i)","Mishra, Abhishek","42","10","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"2 55295475300 (i) on (i)","Maitra, Debasish  Maitra, Debashish","33","11","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"3 56654849200 (i) on (i)","Pandey, Jatin","32","9","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"4 34870553600 (i) on (i)","Ranjan, Pritam Vanaja  Ranjan, Pritam   Ranjan, P.   Ranjan, P. Vanaja","32","9","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"5 36238967200 (i) on (i)","Dey, Shubhamoy  Dey, S.   Dey, Shubhomay","29","8","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"6 57190072588 (i) on (i)","Bapat, Sudeep R.","27","7","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"7 56457511300 (i) on (i)","Dash, Saumya Ranjan","25","8","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"8 56801002200 (i) on (i)","Raithatha, Mehul  Raithatha, Mehul Ashok","23","6","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"9 56190429300 (i) on (i)","Popli, Manish","22","8","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"10 56414153200 (i) on (i)","Kapoor, Rohit","21","6","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"11 24166957400 (i) on (i)","Mishra, Rajhans","20","6","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"12 56214271500 (i) on (i)","Shah, Bhavin J.  Shah, Bhavin J.   Shah, Bhavin","20","6","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"13 7402451359 (i) on (i)","Krishnan, Rishikesha T.","19","10","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"14 7402676001 (i) on (i)","Kumar, Kothandaraman Kiran  Kumar, K. Kiran   Kumar, Kothandaraman   Kumar, K.","19","8","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"15 37102876500 (i) on (i)","Tewari, Shruti  Tewari, S.","19","10","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"16 35094234100 (i) on (i)","Krishnamurthy, Nagarajan  Krishnamurthy, N.","18","2","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"17 48761941000 (i) on (i)","Panigrahi, Prabin Kumar  Panigrahi, Prabin","18","7","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"18 55682778000 (i) on (i)","Sharma, Ajay","18","7","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"19 55295492900 (i) on (i)","Banerjee, Pradip","17","4","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"20 25638406900 (i) on (i)","Gajjar, Hasmukh K.  Gajjar, Hasmukh","15","7","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"21 55089014900 (i) on (i)","Jagannathan, Srinath","15","6","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"22 57150082600 (i) on (i)","Jain, Kamal Kishore  Jain, Kamal K.","15","5","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"23 57214152436 (i) on (i)","Kumar, Bipul","15","6","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"24 57189043050 (i) on (i)","Chauhan, Gaurav Singh  Chauhan, Gaurav S.","14","5","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"25 56091661100 (i) on (i)","Jayasimha, Kambalor Ramakrishna  Jayasimha, K. R.   K.R, Jayasimha","14","5","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"26 55014381300 (i) on (i)","Nambudiri, Ranjeet","14","5","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"27 26421803300 (i) on (i)","Ray, Sanjog","14","4","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"28 56027193800 (i) on (i)","Basu, Shubhabrata  Basu, Shubhabra","13","4","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"29 23974509800 (i) on (i)","Guhathakurta, Kousik  Guhathakurta, K.","13","5","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"30 37061334100 (i) on (i)","Mahapatra, Sabita  Mahapatra, S.","13","6","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"31 39962061200 (i) on (i)","Palsule-Desai, Omkar D.  Palsule-Desai, Omkar D.   Palsule-Desai, Omkar","13","6","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"32 56645675500 (i) on (i)","Thomas, Nobin","13","4","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"33 55648690600 (i) on (i)","Banerjee, Sayantan","12","5","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"34 57212178161 (i) on (i)","Gupta, Vijay Kumar  Gupta, V. K.   Gupta, Vijay K.","12","3","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"35 12784022300 (i) on (i)","Nargundkar, Rajendra V.  Nargundkar, Rajendra   Nargundkar, R.","12","4","Indian Institute of Management Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
