"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 15842810300 (i) on (i)","Biswas, Santosh  Biswas, S.","172","18","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"2 36570181400 (i) on (i)","Devi, Kavita  Devi, K.","83","14","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"3 55881895800 (i) on (i)","Sao, Anilkumar  Sao, Anil Kumar   Sao, Anil K.   Sao, Anil   Sao, A. K.","82","14","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"4 7003436416 (i) on (i)","Kherani, Arzad Alam  Kherani, A.   Kherani, Arzad   Kherani, Arzad A.   Kherani, A. A.","79","15","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"5 33068193800 (i) on (i)","Patra, Sudhanwa","64","19","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"6 56283614900 (i) on (i)","Banerjee, Sanjib","60","20","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"7 36630329600 (i) on (i)","Ghosh, Sabyasachi  Ghosh, S.","60","14","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"8 23398608200 (i) on (i)","Srivastava, Parmeshwary Dayal  Srivastava, P. D.","60","9","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"9 55651441500 (i) on (i)","Shukla, Pravesh Chandra  Chandra Shukla, Pravesh   Shukla, Pravesh   Shukla, Pravesh C.   Shukla, P.","58","17","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"10 25927113100 (i) on (i)","Ghosh, Dhriti Sundar  Sundar Ghosh, Dhriti   Ghosh, Dhriti S.   Ghosh, D. S.","56","19","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"11 57205884746 (i) on (i)","Ghosh, Ratan K.  Ghosh, R. K.   Ghosh, Ratan   Ghosh, Raja K.","56","11","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"12 37078837700 (i) on (i)","Mehboob Alam, Md  Alam, Md Mehboob   Alam, Md M.","49","14","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"13 35727452300 (i) on (i)","Gangopadhyay, Soumya  Gangopadhyay, S.","48","23","Indian Institute of Technology Bhilai","Raipur","India"
