"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"201 17345868900 (i) on (i)","Ghoshal, Sanjoy Kumar  Ghoshal, S. K.   Ghoshal, Sanjoy   Ghoshal, S.   Ghoshal, Sanjoy K.","73","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"202 55737051100 (i) on (i)","Gupta, Deepak K.  Gupta, Deepak Kumar   Gupta, Deepak   Gupta, D.   Gupta, D. K.   Gupta, Deepak K.","37","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"203 57191475090 (i) on (i)","Kamble, Alka Damodhar  Kamble, Alka D.","16","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"204 55445466000 (i) on (i)","Kumar, Jitendra  Kumar, J.","88","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"205 55584803599 (i) on (i)","Kumar, Rakesh Ranjan","16","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"206 57211709436 (i) on (i)","Kumar, Ritesh  Kumar, R.","28","10","Madan Mohan Malaviya University of Technology","Gorakhpur","India"
"","View last title","","","",""
"","","","","","",""
"207 56459670800 (i) on (i)","Kumari, Minashree","18","10","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"208 36165787600 (i) on (i)","Moirangthem, Rakesh Singh  Moirangthemy, R. Singh   Moirangthem, Rakish S.   Moirangthem, Rakesh S.   Moirangthem, R. S.","49","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"209 9840103400 (i) on (i)","Pan, Somnath  Pan, S.","22","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"210 57194568754 (i) on (i)","Pasupuleti, Srinivas  Pasupuleti, S.","42","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"211 10640020700 (i) on (i)","Patra, Niladri  Patra, N.","22","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"212 8284787800 (i) on (i)","Paul, Partha Sarathi  Paul, P. S.   Paul, Partha S.","31","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"213 57000357300 (i) on (i)","R, Rahul M.  Rahul, M. R.   R, Rahul M.","28","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"214 55561110400 (i) on (i)","Santra, Chiranjit  Santra, Chianjit","13","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"215 7006008407 (i) on (i)","Sarangi, Shushanta  Sarangi, Sushant   Sarangi, S.","24","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"216 55745503300 (i) on (i)","Sengupta, Aditi","28","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"217 55009024800 (i) on (i)","Shaw, Krishnendu","22","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"218 23470831000 (i) on (i)","Singh, Garib Nath  Singh, Garib N.   Singh, G. N.","117","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"219 55469474900 (i) on (i)","Singh, Mritunjay Kumar  Singh, Mritunjay K.   Singh, Mritumjay Kumar   Singh, M. K.","51","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"220 57209533169 (i) on (i)","Singh, S. K.  Singh, Shailesh K.   Singh, Shailesh Kumar   Singh, S. K.   Singh, Shailesh   Singh, S.","24","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"221 56175929200 (i) on (i)","Singh, Saumya","48","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"222 56175889900 (i) on (i)","Singh, Shailendra Narayan  Singh, Shalendra N.   Singh, Shailendra N.   Singh, S. N.   Singh, S.","35","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"223 7005408949 (i) on (i)","Suri, Ajay  Suri, A.","27","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"224 55980759400 (i) on (i)","Trivedi, Shrawan Kumar","26","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"225 57216507468 (i) on (i)","Udayabhanu, Gopalakrishnan Nair  Udayabhanu, G.   Udayabhanu, G. N.","23","10","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"226 23493808300 (i) on (i)","Vishwakarma, G. K.  Vishwakarma, G.   Vishwakarma, Gajendra   Vishwakarma, Gajendra Kumar   Vishwakarma, G. K.   Vishwakarma, Gajendra K.","91","10","UCSI University","Kuala Lumpur","Malaysia"
"","View last title","","","",""
"","","","","","",""
"227 55279838700 (i) on (i)","Adak, Amitava  ADAK, AMITAVA   Adak, A.","28","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"228 57191472424 (i) on (i)","Bannerjee, Mollika","12","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"229 55390799700 (i) on (i)","Chaudhary, Nikita","16","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"230 35218687800 (i) on (i)","Chauhan, Naveen  Chauhan, Nilanshi","61","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"231 6701811748 (i) on (i)","Chetal, A. R.  Chetal, A. B.","58","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"232 57519755200 (i) on (i)","Choubey, Ashutosh  Choubey, A.","20","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"233 57202136860 (i) on (i)","Das, Alok Kumar  Das, Alok Kr   Das, Alokkumar   Das, Alok K.   Das, A. K.","18","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"234 57214445448 (i) on (i)","Donta, Praveen Kumar  Praveen Kumar, D.   D., Praveen Kumar","19","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"235 7103398493 (i) on (i)","Dwivedi, Ritesh D.  Dwivedi, Ritesh   Dwivedi, R. D.","21","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"236 56727679100 (i) on (i)","Gupta, Indrajeet","24","9","Bennett University","Greater Noida","India"
"","View last title","","","",""
"","","","","","",""
"237 56291584700 (i) on (i)","Jain, Manish Kumar  Jain, M. K.   Jain, Mantsh Kumar   Jain, Manish K.","52","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"238 37081218200 (i) on (i)","Kaligatla, R. B.  Kaligatla, R. B.","19","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"239 57202196051 (i) on (i)","Kar, Amlan","15","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"240 56517764900 (i) on (i)","Kiran, Raj  Kiran, R.","28","9","University of Oklahoma","Norman","United States"
"","View last title","","","",""
"","","","","","",""
"241 55862028600 (i) on (i)","Kumar, Ashutosh","18","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"242 57219699174 (i) on (i)","Kumar, Dharmendra  Kumar, D.","42","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"243 55492133500 (i) on (i)","Kumar, Rajan Anil  Kumar, Rajan   Kumar, R.","12","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"244 57198684226 (i) on (i)","Kumar, Rajkishor","35","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"245 56843711700 (i) on (i)","Kumar, Sumit  Kumar, S.","20","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"246 57200992795 (i) on (i)","Lakkaniga, Naga Rajiv","20","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"247 56769396800 (i) on (i)","Mahato, Bidyut  Mahato, B.","33","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"248 56453389900 (i) on (i)","Majee, Karunamay","11","9","Technion - Israel Institute of Technology","Haifa","Israel"
"","View last title","","","",""
"","","","","","",""
"249 57196864334 (i) on (i)","Mandal, Deepak Kumar","27","9","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
