"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 7201535495 (i) on (i)","Mandal, Ajay  Mandaf, Ajay   Mandal, A.","210","47","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"2 56899139400 (i) on (i)","Tsubota, Susumu  Tsubota, Suzumu   Tsubota, S.","84","46","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"3 8562488800 (i) on (i)","Pal, Sagar  Pal, S.","135","41","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"4 7202797149 (i) on (i)","Mukherjee, Rabindranath N.  Mukheriee, Rabindranath   Mukherjee, Rabindranath   Mukheriee, R. N.   Mukherjee, R. N.   Mukherjee, R.","164","39","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"5 55919487300 (i) on (i)","Mukherjee, Vivekananda  Mukherjee, V.","205","39","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"6 55663624500 (i) on (i)","Rai, Vineet Kumar  Rai, Vineet K.   Rai, Vineet Kr   Rai, V. K.   Rai, Vineat Kumar","177","39","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"7 35789896200 (i) on (i)","Dixit, Amit Rai  Dixit, A. R.   Dixit, Amit R.   Dixit, Ar   Rai Dixit, Amit   Dixit, A. Rai   Dixit, A.   Dixit, Amit","134","34","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"8 35330838400 (i) on (i)","Sahu, Sumanta Kumar  Sahu, Sumanta   Sahu, S. K.   Sahu, Santi Gopal   Sahu, Sumanta K.   Sahu, Sumant Kumar   Sahu, Sumanta kumar","73","34","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"9 7005233008 (i) on (i)","Jana, Prasanta Kumar  Jana, Prasanta K.   Lana, Prasanta K.   Jana, Prasanta   Jana, P. K.","166","32","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"10 55665464900 (i) on (i)","Maiti, Subodh Kumar  Kumar Maiti, Subodh   Maiti, S. K.   Maiti, Subodh K.","150","32","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"11 6701815808 (i) on (i)","Seth, Gauri Shanker  Seth, Gauri Shenkar   Seth, G. S.   Seth, Gauri Shenker   Seth, Gauri S.","118","32","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"12 7102782202 (i) on (i)","Biswas, Gosta P.  Biswas, G. P.","130","30","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"13 35221907600 (i) on (i)","Madhuri, Rashmi  Madhuri, R.","129","30","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"14 54949263900 (i) on (i)","Pichiah, Saravanan  Saravanan, P.   Saravanan, Pichiah","115","29","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"15 46561238300 (i) on (i)","Kumar, Kaushal  Kumar, K.","101","28","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"16 35318333000 (i) on (i)","Ojha, Keka  Ojha, K.","98","28","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"17 7102892599 (i) on (i)","Yadav, Mahendra  Yadav, M.","80","28","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"18 57092301200 (i) on (i)","Kumar, Rajesh  Kumar, Raj   kumar, Raj   Kumar, R.","281","27","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"19 7402546542 (i) on (i)","Sengupta, Saumitra  Sengupta, S.","90","27","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"20 57211422832 (i) on (i)","Sharma, Shailendra Kumar  Kumar Sharma, Shailendra   Sharma, S. K.     Sharma, Shailendra K.","119","27","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"21 7102025037 (i) on (i)","Chowdhury, Biswajit  Chowdhury, B.","88","26","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"22 57218269147 (i) on (i)","Das, Sarat Kumar  Das, Sarat K.   Das, S. K.   Kumar Das, S.   Sarat Kumar, Das   Kumar Das, Sarat   Das, Sarat","106","26","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"23 24070120200 (i) on (i)","Chattopadhyaya, S.  Chattopadhyaya, S.   Chattopadhyaya, Somnath","203","25","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"24 13205077400 (i) on (i)","Dwari, Santanu  Dwari, S.   Dwar, Santanu   Dwari, Shantanu","174","25","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"25 7102490113 (i) on (i)","Kumar Upadhyay, Ranjit  Upadhyay, R. K.   Upadhyay, Ranjit K.   Upadhyay, Ranjit Kumar","167","25","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"26 7403033055 (i) on (i)","Das, Parthasarathi  Das, Parthasarthi","78","24","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"27 56988229900 (i) on (i)","Ghosh, Subrata Kumar  Ghosh, Subrata Kr   Ghosh, S. K.   Ghosh, Subrata   Ghosh, Subrata K.","109","24","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"28 7004389004 (i) on (i)","Nayak, G. C.  Nayak, G.   Nayak, Ganesh C.   Nayak, G. C.   Nayak, Ganesh Chandran   Nayak, Ganesh Ch   Chandra Nayak, Ganesh   Nayak, Ganesh Chandra","87","24","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"29 8255054900 (i) on (i)","Thangavel, Rajalingam  Thangavel, R.   Rajalingam, Thangavel","137","24","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"30 7101919021 (i) on (i)","Chatterjee, Rima  Chatterjee, R.","87","23","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"31 56217466500 (i) on (i)","Chattopadhyay, Amares  Chattopadhyay, A.   Chattopadhyay, Amres","186","23","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"32 35480558300 (i) on (i)","Das, Alok Kumar  Das, Alok K.   Das, Alok   Das, A. K.","113","23","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"33 35203333800 (i) on (i)","Gangwar, Ravi Kumar  Gangwar, R. K.   Kumar Gangwar, Ravi   Gangwar, Ravi K.","174","23","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"34 57203278432 (i) on (i)","Guria, Chandan  Guria, C.","67","23","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"35 6602367906 (i) on (i)","Manam, Jairam  Manamz, J.   Manam, J.","84","23","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"36 36174242400 (i) on (i)","Sinhamahapatra, Apurba  Sinhamahapatra, A.   Sinhamahapatra, Apruba","39","23","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"37 55995540800 (i) on (i)","Amgoth, Tarachand","69","22","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"38 56637796700 (i) on (i)","Choudhary, Ram Bilash  Choudhary, R. B.   Choudhary, Ram B.","81","22","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"39 57042239900 (i) on (i)","Gupta, Shishir  Gupta, S.   Gupta, Shishia   Gupta, Sh","182","22","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"40 11739169500 (i) on (i)","Prasad, Anup K. 		                Prasad, Anup   Prasad, A.   Prasad, A. K.","37","22","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"41 23974926800 (i) on (i)","Sahoo, Gadhadhar  Sahoo, G.   Sahoo, Gadadhar","129","22","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"42 6507395948 (i) on (i)","Udayabhanu, Gopalkrishnan  Udayabhanu, G.   Nair, Udayabhanu G.   Nair, Udayabhanu Gopalakrishnan","64","22","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"43 55882501600 (i) on (i)","Antony, Bobby Kachappilly  Antony, B. K.   Antony, Bobby K.   Antony, Bobby   Antony, B.","130","21","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"44 12764731800 (i) on (i)","Bhattacharyya, Biplab  Bhattacharyya, A. B.   Bhattacharyya, B.","94","21","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"45 57198891736 (i) on (i)","Kumar, Aditya  Kumar, A.","50","21","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"46 26655682300 (i) on (i)","Kuḿar, V.  Kumar, Vipin   Kuḿar, V.   Kumar, Virendra   Kumar, v.   Kumar, V.","97","21","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"47 36887327500 (i) on (i)","Pathak, Devendra Deo  Pathak, D. D.   Pathak, Devandra D.   Pathak, Devendra D.   Deo Pathak, D.","85","21","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"48 18233846300 (i) on (i)","Samadder, Sukha Ranjan  Samadder, Sukha R.   Samadder, S. R.","49","21","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"49 13607667400 (i) on (i)","Banka, Haider  Banka, H.","106","20","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"50 55763531400 (i) on (i)","Das, Raghunath  Das, R.","28","20","Indian Institute of Technology (ISM) Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"51 7402667083 (i) on (i)","Dutta, Sekhar Chandra  Dutta, Sekhar C.   Dutta, S. C.               Chandra Dutta, Sekhar   Chandra, Dutta Sekhar","96","20","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"52 7202375314 (i) on (i)","John, Rohith P.  John, Rohith P.   John, R. P.","45","20","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"53 57220592161 (i) on (i)","Kumar, Sanjeev Gokul  Kumar, S.   Kumar, S. Gokul   Kumar, Sanjeev","99","20","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"54 36441545500 (i) on (i)","Kumar, Tarkeshwar  Kumar, T.   Kumar, Tarkeswar","37","20","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"55 56467581400 (i) on (i)","Kumar, Vipin  Kumar, V.","83","20","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"56 25655570700 (i) on (i)","Kumar Singh, Kalyan  Singh, Kalyan K.   Singh, Kalyan Kumar   Singh, Kalyam Kumar   Singh, K.   Singh, K. K.   Singh, Karanbir","131","20","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"57 6507988455 (i) on (i)","Mahto, Vikas  Mahto, V.","68","20","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"58 6603749812 (i) on (i)","Om, Hari  Om, H.","161","20","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"59 17433787000 (i) on (i)","Das, Gourab  Das, G.","50","19","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"60 57188535824 (i) on (i)","Dutta, Suman  Dutta, S.","51","19","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"61 36096150700 (i) on (i)","Kumar Pal, Arup  Pal, Arun Kumar   Pal, Arup Kumar","88","19","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"62 25632884200 (i) on (i)","Nayek, Hari Pada  Pada Nayek, Hari","75","19","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"63 36960001700 (i) on (i)","Pal, Sanjit Kumar  Pal, S. K.   Pal, Sanjit Kr   Pal, Sanjit K.","87","19","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"64 7401979281 (i) on (i)","Paul, Sajal Kumar  Paul, Sajal Kr   Paul, Sajal   Paul, S. K.   Paul, Sajal K.","93","19","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"65 55468435700 (i) on (i)","Singh, Vinod K.  Singh, Vinod   Singh, Vinod K.   Singh, V. K.   Singh, Vinod Kumar","95","19","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"66 55619311102 (i) on (i)","Gupta, Sunil Kumar  Gupta, Sunil K.   Kumar Gupta, Sunil   Gupta, S. K.","53","18","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
