"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 57191614637 (i) on (i)","Prasanna, Sharath R.Mahadeva  Prasanna, Sharath   Prasanna, S. R.M.   Prasanna, Sam   Prasanna, Mahadeva S.R.   Prasanna, S.   Prasanna, Mahadeva   Prasanna, S. R.Mahadeva","246","23","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"2 24474679400 (i) on (i)","Kondepu, K.  Kondepu, K.   Kondepu, Koteswararao","97","13","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"3 57207943647 (i) on (i)","Mahadeva Prasannâ, S. R.  Mahadeva Prasanna, S. R.   Prasanna, S. R.M.   Prasanna, S.   Prasanna, S. R.Mahadeva   Mahadeva Prasanna, S.","86","16","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"4 6603253703 (i) on (i)","Tembe, Bhalachandra L.  Tembe, B. L.","66","13","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"5 38862998300 (i) on (i)","Singh, S. P.  Singh, Surya Pratap   Singh, Surya P.   Singh, S. P.","47","16","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"6 57220708896 (i) on (i)","Patil, Mandar R.  Patil, Mandar   Patil, M.   Patil, M. R.","40","21","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"7 55538786100 (i) on (i)","Sen, Sagnik","38","6","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"8 7006470821 (i) on (i)","Narasimha Sastry, N. S.  Sastry, N. S.N.   Sastry, N. S.Narsimha   Sastry, N. S.Narasimha","36","6","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"9 14219656500 (i) on (i)","Patil, Dhiraj V.  Patil, Dhiraj V.   Patil, D. V.","34","13","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"10 57155759500 (i) on (i)","Shukla, Sudhanshu  Shukla, S.   Shukla, Sudhanshu K.   Shukla, Sudhanshu Kumar","34","19","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"11 7006579174 (i) on (i)","Prabhu, R.  Prabhu, R.","32","14","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"12 57200904113 (i) on (i)","Ghosh, Ruma  Ghosh, R.","29","12","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"13 25122382400 (i) on (i)","Balasubramanya, Naveen Mysore  Mysore Balasubramanya, Naveen","25","8","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"14 57189047271 (i) on (i)","Bhat, Rajshekhar Vishweshwar  Bhat, Rajshekhar V.   Bhat, Rajshekhar","25","6","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"15 57200197010 (i) on (i)","Bharath, B. N.  Bharath, B.   Nagaraja, Bharath Bettagere","24","6","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"16 54893147400 (i) on (i)","Bodas, Tejas  Bodas, T.","22","3","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"17 55654976700 (i) on (i)","Pandya, Rahul Jashvantbhai  Pandya, Rahul J.   Pandya, Rahul Jasvantbhai   Pandya, Rahul Jasvanthbhai","21","4","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"18 55571553100 (i) on (i)","Mulla, Ameer  Mulla, Ameer K.","20","5","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"19 56700432400 (i) on (i)","Vigneshwara Raja, P.  Raja, P. V.   Raja, P. Vigneshwara","20","6","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"20 56548569000 (i) on (i)","Lingam, R.  Lingam, R.   Rakesh, Lingam   Lingam, Rakesh","18","8","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"21 55622589900 (i) on (i)","Prabuchandran, K. J.","18","6","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"22 35753741600 (i) on (i)","Sandeep, R. B.","18","6","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"23 57189575415 (i) on (i)","Kshirsagar, Abhijit  Kshirsagar, Abhijith","17","5","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"24 57194017137 (i) on (i)","Mishra, Jagabandhu","17","3","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"25 56316087600 (i) on (i)","Rao, Malakalapalli Rajeswara  Rao, M. Rajeswara","17","12","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"26 56560237500 (i) on (i)","Bhui, Pratyasa","16","5","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"27 56373593500 (i) on (i)","Barua, Amlan K.  Barua, Amlan","15","6","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"28 55850742900 (i) on (i)","Masuti, Shreedevi K.  Kmasuti, Shreedevi   MASUTI, SHREEDEVI K.   Masuti, Shreedevi Kalyani","15","2","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"29 57200517121 (i) on (i)","Chattopadhyay, Souradip  Chattopadhyay, Soudradip","13","5","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"30 56960047900 (i) on (i)","Banavath, Satish Naik  Naik Banavath, Satish   Naik, B. Satish","12","5","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"31 57200389899 (i) on (i)","Iyer, Nagesh R.  Iyer, Nagesh","12","3","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"32 55877007000 (i) on (i)","Kalayappan, Rajshekar","12","5","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"33 57193991763 (i) on (i)","Khadirnaikar, Seema","12","4","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"34 55937553000 (i) on (i)","Narasimha, D.","12","4","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"35 57205937178 (i) on (i)","Saha, Koushik  Saha, K.","12","5","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"36 55802523300 (i) on (i)","Surya Prakash, R.  Ramesh, Surya Prakash","12","4","Indian Institute of Science","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"37 57194021391 (i) on (i)","Kadayinti, Naveen  Naveen, K.","11","2","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"38 46061529000 (i) on (i)","Phawade, Ramchandra  Phawade, R.   Phawade, Ramchndra","11","4","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"39 57209592663 (i) on (i)","Das, Tamal","10","6","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"40 57114320700 (i) on (i)","Swain, Siba Narayan  Narayan Swain, Siba","10","5","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"41 56028809000 (i) on (i)","Ananthanarayanan, Gayathri","9","4","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
"42 56780109800 (i) on (i)","Dolai, Dhriti Ranjan  Dolai, D. R.   Dolai, Dhriti","9","2","Indian Institute of Technology Dharwad","Dharwad","India"
"","View last title","","","",""
"","","","","","",""
