"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 7006039039 (i) on (i)","Bahadur, D.  Bahadur, D.   Bahadur, Dhirendra","377","58","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"2 57202486092 (i) on (i)","Mishra, Barada Kanta  Mishra, Barda Kanta   Mishra, Baroda Kanta   Mishra, Barada Kant   Mishra, B.   Mishra, Barada K.   Mishra, B. K.   Mishra, Barada","326","44","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"3 24167438300 (i) on (i)","Subudhi, Bidyadhar D.  Subudhi, B. D.   Subudhi, B.   Subudhi, Bidyadhar   Subudhi, Bidydhar   Bidyadhar, Subudhi   Subudhi, Bidhyadhar","298","34","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"4 16066893600 (i) on (i)","Kore, Sachin Dnyandeo  Kore, Sachin   Kore, Sachin D.   Kore, S. D.   Kore, Sachine","65","14","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"5 7102243534 (i) on (i)","Krishna, Sudhir  Krishna, S.   Sudhir, Krishna","51","22","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"6 7406324544 (i) on (i)","Das, Santosh Kumar  Das, Santosh K.   Das, S. K.","41","10","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"7 54909253700 (i) on (i)","Sannigrahi, Jhuma  Sannigrahi, J.","38","11","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"8 57224842658 (i) on (i)","Biswas, Somenath  Biswas, S.","35","9","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"9 36537243500 (i) on (i)","Kanungo, Sudipta  Kanungo, S.","35","12","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"10 55065785000 (i) on (i)","Sahoo, Sujit Kumar  Sahoo, Sujit K.","33","10","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"11 23984176200 (i) on (i)","Ambekar, Anirudha A.  Ambekar, Anirudha   Ambekar, A. A.   Ambekar, A.","31","9","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"12 55191240400 (i) on (i)","Nambath, Nandakumar","28","6","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"13 36835653400 (i) on (i)","Prabhu Gaonkar, Rajesh S.  Prabhu Gaonkar, Rajesh S.   Prabhu Gaonkar, Rajesh Suresh   Gaonkar, R. S.Prabhu   Gaonkar, Rajesh Prabhu   Gaonkar, R. S.P.   Gaonkar, Rajesh S.Prabhu","28","6","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
