"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"801 57211275542 (i) on (i)","Patel, Amey Kiran","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"802 57222667238 (i) on (i)","Pathy, Komal","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"803 57845128300 (i) on (i)","Patidar, Manish  Patidar, M.","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"804 57220053881 (i) on (i)","Pinjari, Dilip","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"805 57214082267 (i) on (i)","Pradhan, Girija Sankar","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"806 57474130600 (i) on (i)","Pramanik, Dipendu","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"807 57200174221 (i) on (i)","Prasad, Siddharth S.  Prasad, Siddharth","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"808 57221873110 (i) on (i)","Priyadarsini, Putti Swathi","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"809 57226374516 (i) on (i)","Raghav, Tanu","2","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"810 57658981300 (i) on (i)","Rai, Nivedita","2","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"811 57224455568 (i) on (i)","Raikwar, Sumeet","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"812 57233148900 (i) on (i)","Raineesh, K. P.","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"813 57212472083 (i) on (i)","Rajani, T.","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"814 57223325213 (i) on (i)","Rajput, Harsha","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"815 57208657066 (i) on (i)","Raju, E. S.N.P.  Raju, E. S.N.","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"816 55328819000 (i) on (i)","Ram, Priti","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"817 57222123648 (i) on (i)","Ranawat, Nagendra Singh","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"818 57196029799 (i) on (i)","Rathlavat, Santosh","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"819 57209322059 (i) on (i)","Rathore, Vasundhara","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"820 57193644763 (i) on (i)","Ravinder, Ravinder  Ravinder, R.","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"821 57189064614 (i) on (i)","Ravindran, Sriram","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"822 57195608449 (i) on (i)","Reddy, Tadi Ravi Teja","2","2","University of California, Los Angeles","Los Angeles","United States"
"","View last title","","","",""
"","","","","","",""
"823 57751323200 (i) on (i)","Reddy, Yashwanth K.","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"824 57224682036 (i) on (i)","Reddy Boddu, Venkata Rami","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"825 57216140617 (i) on (i)","Sahu, Santosh Kumar  Sahu, Santosh K.","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"826 57203339492 (i) on (i)","Sai, Yeswanth","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"827 57226535350 (i) on (i)","Saket, Palak","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"828 57443201600 (i) on (i)","Sarkar, Sayantan","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"829 57222345755 (i) on (i)","Satyam, D. Neelima","2","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"830 57613263500 (i) on (i)","Saxena, Vivek","2","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"831 57221382883 (i) on (i)","Sharma, Anupma","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"832 57753335100 (i) on (i)","Sharma, Anurag  Sharma, A.","2","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"833 57208896715 (i) on (i)","Sharma, Sandesh  Sharma, S.","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"834 56527202500 (i) on (i)","Shashank, Kora","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"835 57224224202 (i) on (i)","Shivhare, Yogesh Kumar","2","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"836 57218690751 (i) on (i)","Shukla, Jay","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"837 57226285646 (i) on (i)","Singh, Chandan Kumar","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"838 57433828000 (i) on (i)","Singh, Diwakar","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"839 57201365008 (i) on (i)","Singh, Lokesh","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"840 57769442300 (i) on (i)","Singh, Sanjay Kumar","2","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"841 57193864759 (i) on (i)","Singh, Shyam","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"842 57723863700 (i) on (i)","Singh, Sukriti","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"843 57197255871 (i) on (i)","Singh, Yogendra","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"844 57224167842 (i) on (i)","Sonagara, H.","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"845 57189234882 (i) on (i)","Sonawane, Ajinkya J.  Sonawane, Ajinkya","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"846 57206834466 (i) on (i)","Srinivasan, Srikaanth","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"847 57482517600 (i) on (i)","Sunny, Jibin V.","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"848 57225203958 (i) on (i)","Sutradhar, Jayanta","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"849 57567671400 (i) on (i)","Tamuly, Reeturaj","2","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"850 57221304365 (i) on (i)","Tanti, Harsha Avinash  Tanti, Harsha A.","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"851 57568280200 (i) on (i)","Thakur, Deepali  Thakur, D.","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"852 57199185590 (i) on (i)","Thirugnanasambandam, Venkatesh","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"853 57203224186 (i) on (i)","Tidke, Surbhi","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"854 56465387300 (i) on (i)","Tiwari, Ayush","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"855 57555645900 (i) on (i)","Tiwari, Bhavya","2","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"856 57238526900 (i) on (i)","Tiwari, Himanshu","2","0","Indian Institute of Technology Indore","Indore","India"
