"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"

"4 57208198966 (i) on (i)","Roy, Ankhi S.  Roy, Ankhi   Roy, A. S.   Roy, A.","346","63","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"5 12243715900 (i) on (i)","Bhatia, Vimal  Bhatia, V.","301","22","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"1 35227858100 (i) on (i)","Sahoo, Raghunath K.  Sahoo, R.   Sahoo, Raghunth   Sahoo, Raghunath   Sahoo, R. K.","584","110","European Organization for Nuclear Research","Geneva","Switzerland"
"","View last title","","","",""
"","","","","","",""
"2 6701473214 (i) on (i)","Mobin, Shaikh Md  Mobin, Shaik M.   Shaikh, Mobin   Mobin, Sheikh M.   Mobin, Shaikh   Mobin, Saikh M.   Mobin, Shaikh M.   Shaikh, M. Mobin   Shaikh, M. M.   Mobin, S. M.  	    Shaikh, Mobin M.   Mobin, Shaikhm","550","60","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"3 52564272800 (i) on (i)","Singh, Ranbir  Singh, R.","382","82","Homi Bhabha National Institute","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"6 14632337000 (i) on (i)","Pachori, Ram Bilas  Pachori, RAm Bilas   Pachori, R. B.","230","52","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"7 6602692956 (i) on (i)","Shirage, Parasharam Maruti  Shirage, P. M.   Shirage, Parasharam   Shirage, Parashram M.   Shirage, Parasharam M.","223","33","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"8 14008479200 (i) on (i)","Pathak, Biswarup  Pathak, B.   Pathak, B. C.","220","36","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"9 57613598600 (i) on (i)","Kumar, Rajesh Dhilip  Kumar, R. Dhilip   Kumar, Raj   Kumar, Rajesh   Kumar, Rajeev   kumar, Rajesh   Kumar, R.   Kumar, Ramesh","219","30","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"10 6701717892 (i) on (i)","Kranti, Abhinav  Kranti, A.   Kranti, Avinash","188","30","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"11 57188824354 (i) on (i)","Thakur, Dhananjaya  Thakur, D.","182","36","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"12 26657638800 (i) on (i)","Palani, Iyamperumal Anand  Iyamperumal Anand, Palani   Palani, Iyamperumal A.   Palani, I. A.","173","20","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"13 7203051023 (i) on (i)","Misra, Rajneesh  Misra, Rajnessh   Misra, R.","166","38","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"14 55471571000 (i) on (i)","Mukherjee, Shaibal  Mukherjee, S.","160","23","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"15 35222461900 (i) on (i)","Sengupta, Anirban  Sengupta, A.","159","18","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"16 57204363010 (i) on (i)","Rath, Rutuparna  Rath, R.","151","23","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"17 56723315200 (i) on (i)","Sen, Somaditya  Sen, S.","143","22","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"18 57202920015 (i) on (i)","Rode, Sudhir Pandurang  Rode, S. P.   Pandurang Rode, Sudhir","142","26","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"19 6506346978 (i) on (i)","Vishvakarma, Santosh Kumar  Vishvakarma, S. K.   Kumar Vishvakarma, Santosh   Vishvakarma, Santosh   Vishvakarma, Santosh K.   Vishvakarma, Santosh Kr","138","16","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"20 57089843900 (i) on (i)","Deb, Suman  Deb, S.","137","20","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"21 54890989200 (i) on (i)","Sahu, Santosh Kumar  Sahu, Santosh K.   Sahu, S. K.","133","20","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"22 10042900700 (i) on (i)","Sagdeo, Pankaj R.  Sagdeo, P. R.   Sagdeo, Pankaj R.   Sagdeo, Pankaj","126","27","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"23 55401164800 (i) on (i)","Tanveer, M.  Tanveer, Mohammad   Tanveer, M.   Tanveer, Muhammad","122","24","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"24 12786818900 (i) on (i)","Devan, Rupesh S.  Devan, Rupesh   Devan, R. S.   Devan, Rupesh S.","120","40","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"25 55574219644 (i) on (i)","Ghosh, Saptarshi K.  Ghosh, S.   Ghosh, Saptarshi","118","29","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"26 8367238500 (i) on (i)","Kankar, Pavan Kumar  KANKAR, PK K.   Kankar, Pavan K.   Kankar, P. K.","118","24","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"27 56215745200 (i) on (i)","Jain, N. K.  Jain, N. K.   Jain, Neelesh Kumar   Jain, Neelesh K.   Kumar Jain, Neelesh","116","23","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"28 35103563800 (i) on (i)","Upadhyay, Prabhat Kumar  Upadhyay, P. K.   Upadhyay, Prabhat K.   UPADHYAY, Prabhat K.","108","20","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"29 57212122317 (i) on (i)","Chaudhary, Sandeep  Chaudhary, S.","107","24","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"30 56152342900 (i) on (i)","Jalan, Sarika  Jalan, S.","107","24","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"31 26428110800 (i) on (i)","Das, Apurba  Das, A.   Das, Apurba K.   Das, Apurba Kr   Kumar Das, Apurba   Das, Apurba Kumar","105","27","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"32 55468415400 (i) on (i)","Singh, Vipul K.  Singh, V.   Singh, V. K.   Singh, Vipul","105","18","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"33 23004282800 (i) on (i)","Goyal, Manish Kumar  Goyal, Manish K.   Goyal, M. K.","104","29","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
