"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"201 57766660100 (i) on (i)","Singh, Ajay","1","0","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"202 57445403300 (i) on (i)","Singh, Anurag Kumar","1","0","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"203 57221148856 (i) on (i)","Singh, Arun Kumar","1","1","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"204 57758800700 (i) on (i)","Singh, Uday Raj","1","0","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"205 57874861700 (i) on (i)","Singla, Sakal","1","0","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"206 57767780700 (i) on (i)","Sofil, Mohammad Ayoub","1","0","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"207 57227857500 (i) on (i)","Sugandhi, Aayush","1","1","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"208 57638109800 (i) on (i)","Tiwari, Suchitra","1","0","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"209 57551905300 (i) on (i)","Ul Reyaz, Suhaib","1","0","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"210 57225913225 (i) on (i)","Ullah Irshad, Inayat","1","1","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"211 57283509200 (i) on (i)","Venkateshh, Sugandham","1","0","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"212 57222272929 (i) on (i)","Wafai, Burhan","1","0","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"213 57224687294 (i) on (i)","Wani, Abdul Haseeb","1","0","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"214 57787189800 (i) on (i)","Wani, Rauoof","1","0","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"215 57783212600 (i) on (i)","Xiong, Yunsheng","1","1","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"216 57225778878 (i) on (i)","Yadav, Shubhendra S.","1","1","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
