"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 6603371142 (i) on (i)","Uma Shaanker, Ramanan U.S.  Uma Shaanker, R.   Shaanker, R. U.   Shaanker, R. Uma   Uma Shaanker, Ramanan   UMA SHAANKER, R.   Shaanker, Ramanan Uma   Shaanker, Ramanan U.   Uma Shaanker, R. U.S.","182","34","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"2 7003356929 (i) on (i)","Vijayan, Pallippattu Krishnan  Vijayan, Pallipattu K.   Vijayan, P. K.   Vijayan, Pallipattu Krishnan   Vijayan, Pallippattu K.","169","29","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"3 7003802046 (i) on (i)","Chadha, Anju  Chadha, Aniu   Chadha, A.","121","31","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"4 23398646200 (i) on (i)","Salunkhe, Rahul R.  Salunkhe, Rahul R.   Salunkhe, R. R.","82","51","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"5 57212976310 (i) on (i)","Saurav, Kushmanda  Saurav, K.","67","15","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"6 26423349500 (i) on (i)","Subudhi, Badri Narayan  Subudhi, Badri N.   Subudhi, Badri","61","13","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"7 35387391200 (i) on (i)","Bansal, Ankur  Bansal, A.","59","11","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"8 37033521500 (i) on (i)","Chauhan, Pankaj","56","31","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"9 35746010400 (i) on (i)","Jakhetiya, Vinit","54","12","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"10 7102818540 (i) on (i)","Iyer, Kannan N.  Iyer, Kannan   Iyer, K. N.   Iyer, K.","52","13","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"11 36159667300 (i) on (i)","Jayaramulu, K.  Jayaramulu, Kolleboyina   Jayaramulu, K.","52","29","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"12 57202588617 (i) on (i)","Subramaniyan, Anand Kumar  AnandKumar, S.   Kumar, Anand   Anannd Kumar, S.   S, Anand Kumar   S., Anand Kumar   Kumar, S. Anand   Kumar, S. A.   Anandkumar, S.   Anand Kumar, S.","51","15","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"13 35086765600 (i) on (i)","Pal, Amlan K.  Pal, Amlan K.","45","19","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"14 7202675130 (i) on (i)","Sarkar, Ashoke Kumar  Sarkar, Ashoke K.   Sarkar, A. K.   Sarkar, Ashoke","42","12","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"15 48662373600 (i) on (i)","Kushvaha, Vinod  Kushvaha, V.","41","18","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"16 55534808600 (i) on (i)","Nathwani, Karan  Nathwani, K.","39","6","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"17 57248414900 (i) on (i)","Sharma, Poonam  Sharma, P.","38","8","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"18 55967366400 (i) on (i)","Velu, R.  Velu, R.   Velu, Rajkumar","38","6","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"19 57190260157 (i) on (i)","Panda, Manoj Kumar  Panda, M. K.   Panda, Manoj Ku   Panda, Manoj K.   Kumar Panda, Manoj","35","7","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"20 24484585800 (i) on (i)","Chakraborty, Biswanath  Chakraborty, B.","34","15","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"21 57203207460 (i) on (i)","Devasahayam, Suresh R.  Devasahayam, Suresh   Devasahayam, S. R.   Devasahayam, S.","33","9","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"22 57217562492 (i) on (i)","Singh, Ajay","33","10","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"23 55695562200 (i) on (i)","Dubey, Ankit","32","9","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"24 57192691560 (i) on (i)","Durai Prabhakaran, Raghavalu Thirumalai  Durai Prabhakaran, R. T.   Prabhakaran, R. T.D.   Prabhakaran, Raghavalu Thirumalai Durai   Prabhakaran, R. T.Durai","31","10","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"25 57206589245 (i) on (i)","Banerjee, Suman","30","4","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"26 57206367011 (i) on (i)","Singh, Amit Kumar  Singh, Amit K.   Singh, Aparna Kumari","30","8","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"27 47561388800 (i) on (i)","Joshi, Nitin  Joshi, N.","29","8","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"28 49961880100 (i) on (i)","Mazumder, Shivnath  Mazumder, S.","29","15","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"29 56376199000 (i) on (i)","Rajput, Archana","29","6","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"30 57202918928 (i) on (i)","Muthusankar, Eswaran  Muthusankar, E.   Eswaran, Muthusankar","28","11","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"31 56448781000 (i) on (i)","Varade, Divyesh M.  Varade, Divyesh   Varade, Divyesh M.   Varade, D.","27","8","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"32 56925168700 (i) on (i)","Wani, Zamir  Wani, Zamir Ahmad","27","9","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"33 54790220900 (i) on (i)","Saini, Ravikant","26","6","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"34 57219888214 (i) on (i)","Samanta, Subhas","26","13","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"35 35068418400 (i) on (i)","Ojha, Amitash","25","5","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"36 57203505897 (i) on (i)","Kumar, Pratik  Kumar, P.","23","9","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"37 55157722800 (i) on (i)","Kumar Tiwari, Sanat  Tiwari, Sanat   Tiwari, S. K.   Tiwari, Sanat K.   Tiwari, Sanat Kumar","23","9","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"38 57196839517 (i) on (i)","Varshney, Gaurav","23","5","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"39 24338040400 (i) on (i)","Dutta, Goutam","21","8","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"40 57188811237 (i) on (i)","Ahlawat, Satyadev","19","4","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"41 55504901100 (i) on (i)","Arun, Ravi Kumar  Arun, Ravi K.   Arun, R.","19","10","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"42 57189592231 (i) on (i)","Kathuria, Ankit","18","7","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"43 56900640400 (i) on (i)","Kaur, Harkeerat","18","7","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"44 24372733500 (i) on (i)","Ghosh, Kankat  Ghosh, K.","17","5","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"45 36509053600 (i) on (i)","Mahajan, Suruchi","17","13","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"46 42762246600 (i) on (i)","Satya Sekhar, B.  Sekhar Bhogilla, Satya   Bhogilla, Satya Sekhar   Satya Sekhar, B.","17","11","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"47 57190753327 (i) on (i)","Chembolu, Vinay  Chembolu, V.","16","6","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"48 57219187250 (i) on (i)","Naz, Syed Farah","16","5","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"49 55366858600 (i) on (i)","Rajput, Arvind Kumar  Rajput, Arvind K.","15","8","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"50 28367493600 (i) on (i)","Bhaduri, Gaurav A.  Bhaduri, Gaurav Ashok   Bhaduri, Gaurav A.   Bhaduri, G.   Bhaduri, G. A.","14","8","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"51 54409263700 (i) on (i)","Patil, R. U.","14","8","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"52 57190985992 (i) on (i)","Bhowmik, Riya  Bhowmik, R.","13","4","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"53 57221101835 (i) on (i)","Kumar, Ajay","13","6","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"54 55362076100 (i) on (i)","Padwal, Manisha B.  Padwal, Manisha B.   Padhwal, Manisha   Padwal, M. B.","13","8","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"55 57194434352 (i) on (i)","Sharma, Aanchna  Sharma, A.","13","8","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"56 56723710800 (i) on (i)","Shiva, S.  Sekar, Shiva","13","6","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"57 57102662900 (i) on (i)","Yadav, Ashutosh  Yadav, A.","13","6","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"58 55985999400 (i) on (i)","Koshy, Nevin","12","8","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"59 57190404688 (i) on (i)","Modem, Sudhakar","12","5","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"60 56350483600 (i) on (i)","Saxena, Alok Kumar","12","5","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"61 56659363400 (i) on (i)","Beniwal, Surendra  Beniwal, S.","11","7","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"62 57204627513 (i) on (i)","Gupta, Shaifu","11","6","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"63 35772275600 (i) on (i)","Hasan, Sartaj Ul  Ul Hasan, Sartaj","11","5","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"64 56978782500 (i) on (i)","Kalra, Sahil","11","4","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"65 56909809200 (i) on (i)","Pal, Vijay Kumar","11","4","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"66 57205335149 (i) on (i)","Vashisth, Manmohan","11","2","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"67 57652148800 (i) on (i)","Shukla, Anup","10","2","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"68 25822780800 (i) on (i)","Varma, Rajendra K.  Varma, R. K.   Varma, Rajendra","10","2","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
"69 55938551900 (i) on (i)","Arun Kumar, P.","9","5","Indian Institute of Technology Jammu","Jammu","India"
"","View last title","","","",""
"","","","","","",""
