"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 6701734979 (i) on (i)","Bayry, Jagadeesh  Bayry, Jagedeesh   Bayry, J.   Bayry, Jagdeesh","321","54","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"2 56870806500 (i) on (i)","Santhakumar, Mohan  Mohan, S.   Santhakumar, M.   Mohan, Santhakumar","105","18","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"3 55505820400 (i) on (i)","Dey, Sukomal","98","11","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"4 36668863000 (i) on (i)","Sunil Kumar, Palakurissi B.  Sunil Kumar, P. B.   Kumar, P. B.Sunil   Kumar, Palakurissi B.Sunil   Kumar, P. B.S.","87","27","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"5 57203031160 (i) on (i)","Mehta, Pramod Shankar  Mehta, Pramod   Mehta, P. S.   Mehta, Pramod S.","65","14","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"6 54413911900 (i) on (i)","Chakradhar, D.  Chakradhar, Dupadu   Chakradhar, D.","55","18","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"7 36461891400 (i) on (i)","Shanmugaraju, Sankarasekaran","45","23","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"8 10042943100 (i) on (i)","Kulkarni, S. H.  Kulkarni, S. H.","42","7","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"9 17435154000 (i) on (i)","Raveendranatha Panicker, Mahesh  Panicker, Mahesh Raveendranatha   Mahesh, R.","41","13","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"10 26531922900 (i) on (i)","Porel, Mintu  Porel, M.","38","20","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"11 54411160100 (i) on (i)","Rajendraprasad, Deepak","38","9","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"12 12345417800 (i) on (i)","Anand, T. N. C.  Anand, T. N.C.","35","6","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"13 23088831400 (i) on (i)","Jagadeesan, D.  Jagadeesan, D.   Dinesh, Jagadeesan   Jagadeesan, Dinesh","35","19","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"14 48561670100 (i) on (i)","Kanmani Subbu, S.  Subbu, S. K.Kanmani   Subbu, S. Kanmani","34","10","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"15 23469241700 (i) on (i)","Das, Sovan Lal  Das, S. L.   Das, S.   Das, Sovan   Das, Sovan L.","32","13","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"16 55263348600 (i) on (i)","Lochan, Kshetrimayum  Lochan, K.","32","9","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"17 35607339100 (i) on (i)","Divakaran, Uma  Divakaran, U.   Divakaran, Udiva","31","14","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"18 56181065100 (i) on (i)","Jena, Manas Kumar  Jena, Manas K.","31","11","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"19 56898648000 (i) on (i)","Padmanabhan, Revathy  Padmanabhan, R.","28","7","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"20 57193337556 (i) on (i)","Pal, Amit Kumar  Pal, A. K.","28","9","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"21 14016597600 (i) on (i)","Sadhukhan, Sushabhan","27","16","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"22 36349164500 (i) on (i)","Chaturvedi, Vivek","26","9","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"23 57209351867 (i) on (i)","Rasheed, P. Abdul  Rasheed, Pathath Abdul   Rasheed, P. Abdul","26","14","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"24 24467353500 (i) on (i)","Babu, Jasine","25","4","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"25 57207260143 (i) on (i)","Dey, Soumik","25","3","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"26 51261369100 (i) on (i)","Pillai, Rakesh J.  Rakesh Pillai, J.   Pillai, Rakesh J.","25","8","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"27 57219974208 (i) on (i)","Shukoor, Mohammad Abdul  Abdul Shukoor, Mohammad","25","5","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"28 55061708700 (i) on (i)","Krithika, R.  Krithika, R.","24","6","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"29 38962293600 (i) on (i)","Umadevi, Deivasigamani","24","13","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"30 36623349400 (i) on (i)","Ajoy, Arvind  Ajoy, A.","23","5","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"31 57190258974 (i) on (i)","Arun Rahul, S.  Rahul, S. Arun","23","6","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"32 56338977800 (i) on (i)","Nanjan, Pandurangan  Pandurangan, N.   Pandurangan, Nanjan","23","9","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"33 56521195900 (i) on (i)","Jaiswal, Deepak  Jaiswal, D.","22","10","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"34 55148022900 (i) on (i)","Manni, Soham  Manni, S.","22","12","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"35 55604926300 (i) on (i)","Chitraganti, Shaikshavali  Chitraganti, S.","21","5","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
