"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1001 57222259603 (i) on (i)","Tomar, Harsh","1","1","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"1002 57222062806 (i) on (i)","Tripathi, Anmol","1","0","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"1003 57223159266 (i) on (i)","Ussama, Mohd","1","1","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"1004 57836180800 (i) on (i)","Varshney, Kanupriya","1","0","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"1005 57201298282 (i) on (i)","Vedprakash, M.","1","1","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"1006 57833939500 (i) on (i)","Verma, Priya","1","0","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"1007 57222465318 (i) on (i)","Versha","1","0","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"1008 57192378070 (i) on (i)","Vijay, Sahil","1","1","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"1009 57200685028 (i) on (i)","Vipin, A.","1","1","University of Texas System","","United States"
"","View last title","","","",""
"","","","","","",""
"1010 57076202800 (i) on (i)","Virdi, Jaskaran Singh","1","1","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"1011 57222059463 (i) on (i)","Wadhawan, Radhika","1","0","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"1012 57219754540 (i) on (i)","Waghela, Chetan","1","0","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"1013 57204316700 (i) on (i)","Yadav, Bharat","1","1","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"1014 57220661262 (i) on (i)","Yadav, Narendra","1","0","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"1015 57221958616 (i) on (i)","Yadav, Sanjeev Singh","1","1","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"1016 57191541865 (i) on (i)","Yagnik, Kaushal B.","1","1","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"1017 57771767700 (i) on (i)","Zafar, Mohammad Adeel","1","0","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
