"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 57203048243 (i) on (i)","Ahuja, Rajeev  Ahuja, R. B.   Ahuja, R.   Ahuja, Rajiv","1058","83","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"2 56657757000 (i) on (i)","Chhabra, Rajendra Prasad  Chhabra, Rajendra   Chhabra, Rajendra P.   Chhabra, R. K.   Chhabra, Raj P.   Chhabra, R.   Chhabra, R. P.   Chhabra, Raj   Chabra, R. P.","377","52","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"3 55290827700 (i) on (i)","Singh, Narinder D.Pradeep  Singh, Narinder   Singh, N.   Singh, N. D.Pradeep","321","43","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"4 7401869299 (i) on (i)","Srivastava, Rajendra  Srivastava, R.","178","46","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"5 55627877339 (i) on (i)","Singh, Harpreet  Singh, Hazoor   Singh, H.   Singh, Harpeet","169","35","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"6 56498252800 (i) on (i)","Singh, Pushpendera P.  Singh, Pushpendra P.   Singh, P.   Singh, Pushendra P.   Singh, P. P.   Singh, Pushpendra","143","24","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"7 55573826400 (i) on (i)","Das, Ranjan  Das, R.","135","29","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"8 7003577835 (i) on (i)","Agrewala, Javed Naim  Agrewala, Javed M.   Agrewala, J. N.   Agrewala, Javed N.","120","31","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"9 55920363400 (i) on (i)","Kloks, Ton        Kloks, Antonius J.J.   Kloks, Anotinius Jacobus Jonanne   Kloks, T.   Kicks, Ton","118","27","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"10 55416904600 (i) on (i)","Reddy, C. C.  Reddy, C. Chakradhar   Reddy, Chakradhar C.   Reddy, Chandupatla   Reddy, C. C.   Reddy, Ch Chakradhar   Reddy, Chandupatla Chakradhar   Reddy, Ch Charkradhar","113","15","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"11 57194127100 (i) on (i)","Kumar, Navin    Kumar, N.","106","17","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"12 35599691500 (i) on (i)","Sharma, Rohit  Sharma, R.","103","12","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"13 57188713372 (i) on (i)","Singh, Gurbir  Singh, Gagandip   Singh, G.   Singh, Gagandeep","91","23","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"14 26639647100 (i) on (i)","Murala, Subrahmanyam  Murala, S.   MuralA, Subrahmanyam   Subrahmanyam, M.   Subrahmanyam, Murala","90","28","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"15 8593481500 (i) on (i)","Nagaraja, C. M.  Nagaraja, C. M.   Nagaraja, C. Mallaiah","89","28","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"16 35229206900 (i) on (i)","Dhall, Abhinav  Dhall, A.","88","24","Monash University","Melbourne","Australia"
"","View last title","","","",""
"","","","","","",""
"17 7004681921 (i) on (i)","Suri, Chander Raman  Suri, C. Raman   Suri, C. R.   Raman Suri, C.","87","34","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
