"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"201 57226175009 (i) on (i)","Boyalakuntla, Kowndinya","1","0","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"202 57681366100 (i) on (i)","Chandragiri, Suresh Yadav","1","1","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"203 57218567607 (i) on (i)","Chitikela, Sai Venkata Gnaneswari","1","1","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"204 57754287900 (i) on (i)","Das, Debeshee","1","0","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"205 57219724743 (i) on (i)","Dash, Balaram","1","1","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"206 57224413501 (i) on (i)","Deep, Aakash","1","0","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"207 57822618600 (i) on (i)","Deshmukh, Reena Abasaheb","1","0","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"208 57217682319 (i) on (i)","Dhall, Aditya","1","1","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"209 57490907500 (i) on (i)","Dheeraj Kumar, K. B.","1","0","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"210 57491108000 (i) on (i)","Etteneni, Nikhil Kumar","1","0","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"211 57432965600 (i) on (i)","Gaddam, Sai Jagadeesh","1","0","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"212 57467092800 (i) on (i)","Gandhi, T. Pushparaj","1","1","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"213 57224856453 (i) on (i)","Gayathri, S.","1","1","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"214 57658016900 (i) on (i)","Govindapuram, Suresh","1","0","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"215 57643501100 (i) on (i)","Gubbala, Chaitanya","1","0","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"216 57226283252 (i) on (i)","Gupta, Nakshatra","1","0","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
