"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 6603631347 (i) on (i)","Kartikeyan, Machavaram Venkata  Kartikeyan, Machavaram Venkateshwar   Machavaram, Kartikeyan V.   Kartikeyan, M. V.   Kartikeyan, Mac Havaram V.   Kartikeyan, Machavaram V.   Kartikeyan, Machavaram   MacHavaram, Kartikeyan V.   Kartikeyan, Mac Havazam V.   Kartikeyan, M.   Kartikeyan, Macha Varam","246","21","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"2 7403016763 (i) on (i)","Rao, Chebrolu Pulla  Pulla Rao, Chebrolu   Rao, Chebrolu P.           Rao, C. P.   Rao, C. Pulla   Rao, Chcbrolu P.   Rao, Chebrolu p.   Rao, C. Gundu   Rao, Ch Pulla","211","38","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"3 23019480400 (i) on (i)","Muthukumar, Palanisamy  Muthukumar, P.   Palanisamy, Muthukumar","179","35","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"4 7005915740 (i) on (i)","Deshmukh, Pranawa C.  Deshmukh, Pranawa   Deshmukh, Pranawa C.   Deshmukh, P. C.","159","21","Dayananda Sagar University","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"5 23484132000 (i) on (i)","Biligiri, Krishna Prapoorna  Biligiri, Krishna P.   Biligiri, K. Prapoorna   Biligiri, K. P.   Prapoorna Biligiri, Krishna   Biligiri, K.","112","22","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"6 6508384373 (i) on (i)","Kothapalli, Kishore  Kishore, K.   Kishore, Kothapalli","91","15","International Institute of Information Technology, Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"7 7005426339 (i) on (i)","Natarajan, Thirupathur Srinivasan  Natarajan, T.   Srinivasan, Natarajan Thirupathur   Srinivasan, Natarajan T.   Srinivasan, Natarajan Tirupattur   Natarajan, T. S.   Natarajan, Tirupattur S.   Natarajan, Tirupattur Srinivasan","85","24","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"8 55392928400 (i) on (i)","Ravi Sankar, Mamilla  Sankar, Mamilla R.   Sankar, Mamilla Ravi   Ravi Sankar, M.   Sankar, M. Ravi   Sankar, M. R.","82","20","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"9 26767549200 (i) on (i)","Chimalakonda, Sridhar  Sridhar, Chimalakonda","67","6","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"10 25630921400 (i) on (i)","Anil Kumar, Emadabathuni  Kumar, Emadabathuni Anil   Kumar, E. A.   Kumar, E. Anil   Anil Kumar, E.","51","19","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"11 25823903300 (i) on (i)","Manna, Arun Kumar  Manna, A. K.   Manna, Arun K.   Manna, Arunava","49","22","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"12 23103813000 (i) on (i)","Anki Reddy, Katha  Reddy, K. Anki   Anki Reddy, K.   Reddy, K. A.   Reddy, Katha Anki","48","13","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"13 36138597400 (i) on (i)","Gandeepan, Parthasarathy","48","34","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"14 57191964788 (i) on (i)","Koteswararao, Bommisetti  Koteswararao, B.   Koteswararao, Basam","46","15","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"15 14830325500 (i) on (i)","Maliyekkal, Shihabudheen Mundampra  Maliyekkal, Shihabudeen M.   Maliyekkal, Shihabudheen M.  							    Maliyekkal, M. Shihabudheen   Maliyekkal, S. M.   M. Maliyekkal, Shihabudheen","46","21","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"16 34881656500 (i) on (i)","Gangwar, Reetesh Kumar  Gangwar, R. K.   Gangwar, Reetesh K.","43","10","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"17 24597165200 (i) on (i)","Gumma, Sasidhar  Gumma, S.","42","15","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"18 7404324592 (i) on (i)","Jain, Suresh  Jain, S.","42","23","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"19 47761474900 (i) on (i)","Pudi, Vikramkumar  Pudi, Vikram Kumar","41","12","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"20 8971601600 (i) on (i)","Roy, Gouriprasanna  Roy, G.","40","17","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"21 9843426800 (i) on (i)","Nandi, Dhananjay  Nandi, D.","38","14","Indian Institute of Science Education and Research Kolkata","Mohanpur","India"
"","View last title","","","",""
"","","","","","",""
"22 14032056800 (i) on (i)","Narasimha Murty, Neti V.L.  Murty, N. N.   Murty, Neti V.L.Narasimha   Narasimha Murty, N. V.L.   Murty, N. V.L.Narasimha   Murty, N. V.L.N.","37","6","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"23 16744742500 (i) on (i)","Subrahmanyam, Gorthi R.K.Sai  Subrahmanyam, Gorthi R.K.Sai   Subrahmanyam, Gorthi Sai   Subrahmanyam, Gorthi R.K.S.   Subrahmanyam, Gorthi Rama Krishna Sai   Subrahmanyam, Gorthi   Subrahmanyam, G. R.K.Sai   Subrahmanyam, G. R.K.S.","33","9","Indian Institute of Technology Tirupati","Tirupati","India"
"","View last title","","","",""
"","","","","","",""
"24 25929082400 (i) on (i)","Badarla, Venkataramana  Badarla, Venkata Ramana  				                Badarla, V.","32","9","Indian Institute of Technology Tirupati","Tirupati","India"
