"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"201 57193884937 (i) on (i)","Bhattacharya, Sankha  Bhattachary, Sankha","36","7","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"202 56395041400 (i) on (i)","Dhar, Prodyut","36","17","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"203 56930826900 (i) on (i)","Jha, R. K.","36","4","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"204 36067000000 (i) on (i)","Mishra, Shradha  Misera, S. C.","36","10","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"205 55038222600 (i) on (i)","Padhi, Aditya K.  Padhi, Aditya K.","36","13","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"206 57192211970 (i) on (i)","Pandey, Ashish Kumar  Pandey, Ashish   Pandey, Ashish K.","36","18","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"207 7101651683 (i) on (i)","Rai, Rajesh  Rai, R.","36","9","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"208 36744644500 (i) on (i)","Rajput, Navin Singh  Rajput, Navin   Rajput, Navin S.   Rajput, N. S.","36","10","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"209 14049207600 (i) on (i)","Ramanathan, Venkatnarayan  Venkatnarayan, Ramanathan   Ramanathan, V.","36","11","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"210 25228103500 (i) on (i)","Sahu, Alakh N.  Sahu Alakh, N.   Sahu, Alakh Niranjan   Sahu, Alakh   Sahu, Alekh N.   Sahu, Alakh N.   Sahu, A. N.","36","12","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"211 57220610554 (i) on (i)","Singh, Omprakash  Singh, Om P.   Singh, O. P.   Singh, Om   Singh, Om Prakash","36","14","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"212 35366837100 (i) on (i)","Mondal, Ashok Kumar  Mondal, A. K.   MONDAL, A. K.","35","14","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"213 7408322494 (i) on (i)","Gupta, Suprakash  Gupta, S.   Gupta, Supraksh","34","10","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"214 57221178854 (i) on (i)","K Vishwakarma, Niraj  Vishwakarma, Niraj Kumar   Vishwakarma, Niraj   Vishwakarma, Niraj K.","34","17","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"215 57649869200 (i) on (i)","Kumar, Atul  Kumar, A.   Kumar, Atual","34","7","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"216 57051979800 (i) on (i)","Kumar, Deepak","34","6","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"217 24773611700 (i) on (i)","Lakshmanan, Karthik Singaram  Lakshmanan, Karthik   Lakshmanan, K.","34","18","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"218 7202796967 (i) on (i)","Mukherjee, Rathindra Nath  Mukherjee, R. N.","34","11","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"219 57197423254 (i) on (i)","Prasad, B.","34","10","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"220 55229017200 (i) on (i)","Prasad, Gur  Prasad, G.   PRASAD, GUR","34","19","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"221 57226053391 (i) on (i)","Singh, Akhilesh K.  Singh, A.   Singh, A. K.   Singh, Akhilesh","34","11","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"222 56531217400 (i) on (i)","Ahmad, Md Imteyaz  Ahmad, Md I.   Ahmad, M. I.   Ahmad, Mohammed Imteyaz   Ahmad, Imteyaz   Ahmad, Muhammad","33","10","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"223 57139623400 (i) on (i)","Dutta, Prasun  Dutta, P.","33","10","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"224 7005757569 (i) on (i)","Jamal, Aarif  Jamal, A.","33","6","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"225 57209569508 (i) on (i)","Kumar, Atendra Suneel  Kumar, A.   Kumar, A. S.Anoop   Kumar, A. Suneel   Kumar, Atendra","33","8","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"226 55808751700 (i) on (i)","Sahoo, Rosalin  Sahoo, R.","33","11","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"227 55658027600 (i) on (i)","Singh, Shraddha P.  Singh, Shraddha   Singh, S. P.   Singh, S.","33","11","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"228 57203412436 (i) on (i)","Tripathi, Manish Kumar  Tripathi, Manish K.   Tripathi, Manish   Tripathi, M. K.","33","9","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"229 57194496515 (i) on (i)","Upadhyay, Rishibrind Kumar  Upadhyay, R. K.","33","9","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"230 25637167100 (i) on (i)","Abbas, Gauhar","32","10","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"231 25521423800 (i) on (i)","Chowdary, C. Ravindranath  Ravindranath Chowdary, C.   Chowdary, C. R.   C., Ravindranath Chowdary   Chowdary, C. Ravindranath","32","9","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"232 56377385300 (i) on (i)","Ghosh, Surajit  Ghosh, S.","32","8","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"233 57204616675 (i) on (i)","Kasiviswanathan, Uvanesh  K, Uvanesh   Uvanesh, K.","32","13","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"234 57220768512 (i) on (i)","Kumar, Dhirendra C.  Kumar, D. C.   Kumar, Dhirendra   Kumar, D.","32","11","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"235 52364141300 (i) on (i)","Majhi, Manas Ranjan  Majhi, M. R.   MAJHI, M. R.   Majhi, Manas R.","32","9","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"236 55923600800 (i) on (i)","Pandey, Om Jee  Pandey, Om","32","7","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"237 57191364882 (i) on (i)","Raghuram, M. A.  Raghuram, M.","32","9","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"238 57204006256 (i) on (i)","Rajeev","32","10","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"239 56649763200 (i) on (i)","Verma, Bhawna  Verma, B.","32","10","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"240 56218182100 (i) on (i)","Pandit, Jayanta Kumar  Pandit, J. K.   Pandit, Jayanta K.   Pandit, Jayant K.","31","16","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"241 36620561000 (i) on (i)","Patel, Ravi R.  Patel, Ravikumar R.   Patel, Ravi   Patel, R. R.   Patel, Ravikumar","31","16","Sun Pharmaceutical Advanced Research Company","Vadodara","India"
"","View last title","","","",""
"","","","","","",""
"242 57205060253 (i) on (i)","Yadav, Vivek Kumar  Yadav, Vivek K.","31","11","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"243 35557988200 (i) on (i)","Azad, Uday Pratap  Pratap Azad, Uday","30","13","Guru Ghasidas Vishwavidyalaya","Bilaspur","India"
"","View last title","","","",""
"","","","","","",""
"244 7402635271 (i) on (i)","Bhattacharya, Arun Prokash  Bhattacharya, A.   Bhattacharya, Arun P.   Bhattacharya, A. P.","30","7","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"245 57206938593 (i) on (i)","Das, Tapas N.  Das, T.   Das, Tapas   Das, T. N.","30","9","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"246 57206266981 (i) on (i)","Kumar, Ashwani","30","3","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"247 57194230904 (i) on (i)","Maulik, Avirup  Maulik, A.","30","8","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"248 36521303900 (i) on (i)","Nag, Somnath  Nag, S.","30","11","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"249 56659334500 (i) on (i)","Ohri, Anurag  Ohri, A.","30","7","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"250 56452660500 (i) on (i)","Pradhan, Tribikram","30","7","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"251 57197405031 (i) on (i)","Dubey, K. S.","29","11","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"252 57213865017 (i) on (i)","Ghosh, Sambit Kumar  Ghosh, Sambit","29","6","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"253 57209589307 (i) on (i)","Gupta, Asha","29","16","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"254 55940328300 (i) on (i)","Mohanty, Supriya  Mohanty, S.","29","6","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"255 57210525957 (i) on (i)","Pal, Arkadeb  Pal, A.","29","7","National Sun Yat-Sen University","Kaohsiung","Taiwan"
"","View last title","","","",""
"","","","","","",""
"256 57658404200 (i) on (i)","Singh, Abhishek Kumar  Singh, Abhishek   Singh, A.   Singh, A. K.","29","8","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"257 57191225667 (i) on (i)","Srivastava, Suresh Kumar  Srivastava, S. K.   Srivastava, K.   Srivastava, S.","29","10","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"258 56261866100 (i) on (i)","Chakraborty, Manash  Chakraborty, M.","28","9","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"259 57201033421 (i) on (i)","Ganeshpurkar, Ankit","28","11","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"260 36508788900 (i) on (i)","Gaur, Shishir  Gaur, S.","28","10","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"261 34976583100 (i) on (i)","Jena, Paramananda  Jena, P.","28","10","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"262 57207453846 (i) on (i)","Kumar, Vivek Senthil  Kumar, V. Senthil   Kumar, Vivek","28","6","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"263 7102651476 (i) on (i)","Mohan, Anita  Mohan, A.","28","7","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"264 55419719200 (i) on (i)","Panda, Saroja Kanta  Kanta Panda, Saroja   Panda, S. K.","28","7","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"265 24178976300 (i) on (i)","Pramanik, Hiralal  Pramanik, H.","28","12","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"266 57218964203 (i) on (i)","Sharma, Deepak Kumar  Sharma, Deepak K.   Sharma, Deepak","28","11","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"267 57210406900 (i) on (i)","Singh, Preetam","28","5","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"268 57221127086 (i) on (i)","Singh, Rahul K.  Singh, R. K.   Singh, R.   Singh, Rahul","28","7","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"269 57411227200 (i) on (i)","Singh, Sanjay Kumar  Singh, S. K.   Singh, Sanjay K.   Singh, Sanjay   Kumar Singh, Sanjay","28","7","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"270 56585367600 (i) on (i)","Ahmad, Anish","27","9","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"271 35092186100 (i) on (i)","Chaudhary, Kalpana  Chaudhary, Kalnana   Chaudhary, K.","27","5","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"272 56256992200 (i) on (i)","Dubey, Pawan Kumar  Dubey, P. K.      Dubey, Pawan K.   Kumar Dubey, Pawan","27","14","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"273 6603733279 (i) on (i)","Jayaswal, S. B.  Jayaswal, S. P.","27","6","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"274 56018297800 (i) on (i)","Kumar, Ajay","27","12","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"275 57203375174 (i) on (i)","Kumar, Parshant  KUMAR, Parshant","27","9","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"276 8967580900 (i) on (i)","Manna, R.","27","9","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"277 43161393100 (i) on (i)","Modi, Gyan  Modi, Gyan P.   Modi, Gyan Prakash","27","14","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"278 56281506500 (i) on (i)","Singh, Vipin Kant  Singh, Vipin K.   Singh, V. K.","27","9","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"279 57210526220 (i) on (i)","Srivastava, Anand Kumar  Srivastava, Anand K.   Srivastava, A. K.   Srivastava, Anand         Srivastava, A.","27","11","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"280 7202965451 (i) on (i)","Tiwari, S. N.","27","12","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"281 56463461100 (i) on (i)","Yadav, Surya Deo  Yadav, S. D.   Yadav, Surya D.","27","7","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"282 57205781749 (i) on (i)","Chakraborty, Jyoti Prasad  Prasad Chakraborty, Jyoti   Chakraborty, J. P.   Chakraborty, Jyoti   Chakraborty, Jyoti P.","26","15","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"283 57195940981 (i) on (i)","Gangwar, Vinod Kumar  Gangwar, V. K.   Gangwar, Vinod K.","26","5","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"284 57214807863 (i) on (i)","Kumar, Pawan Ramesh  Kumar, P. Ramesh   Kumar, Pawan   Kumar, P. R.","26","10","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"285 57202530967 (i) on (i)","Kumar, V.  Kumar, Vijay","26","23","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"286 55628574167 (i) on (i)","Mishra, Padmakar  Mishra, P.","26","11","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"287 7006226950 (i) on (i)","Nath, Deo  Nath, D.","26","9","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"288 55422239300 (i) on (i)","Sarma, Darbha Subrahmanya  Sarma, D. S.","26","13","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"289 56960051200 (i) on (i)","Senapati, Sudipta  Senapati, S.","26","15","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"290 55434317300 (i) on (i)","Tewari, Satya Prakesh  Tewari, S. P.","26","8","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"291 57208376680 (i) on (i)","Verma, Himanshu  Verma, H.","26","6","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"292 16457667400 (i) on (i)","Chakrabarty, I.  CHAKRABARTY, I.   Chakrabarty, I.   Chakrabarty, Indrajit   Chakraborty, I.","25","8","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"293 56537813200 (i) on (i)","Chauhan, Avneet Kumar  Chauhan, Avneet K.","25","6","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"294 57201289968 (i) on (i)","Gangavarapu, Sivanagaraju  Gangavarapu, S.   Sivanagaraju, G.","25","7","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"295 7006118374 (i) on (i)","Gopalakrishna Naik, Kaustubh  Gopalakrishna Naik, K.   Naik, K. Gopalakrishna   Naik, Kaustubh","25","5","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"296 57192428537 (i) on (i)","Haque, Jiyaul  Haque, J.","25","17","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"297 57222727801 (i) on (i)","Kumar, Durgesh  Kumar, D.","25","10","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"298 57216243190 (i) on (i)","Mehata, Abhishesh Kumar  Kumar Mehata, Abhishesh   Mehata, Abhishesh K.","25","9","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"299 57639601300 (i) on (i)","Mishra, Rahul","25","5","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"300 57210170006 (i) on (i)","Mukherjee, Debottam","25","5","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"301 49962016000 (i) on (i)","Nandam, Sree Harsha  Nandam, Sree H.   Nandam, S. H.","25","11","Karlsruher Institut für Technologie, Campus Nord","Eggenstein-Leopoldshafen","Germany"
"","View last title","","","",""
"","","","","","",""
"302 7407866702 (i) on (i)","Singh, Satya Vir  Singh, S. V.","25","9","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
