"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 55931769800 (i) on (i)","Jit, Satyabrata  Jit, Satyabrat   Jit, S.","277","28","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"2 7005310744 (i) on (i)","Maiti, Pralay  Maiti, P.","219","44","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"3 7202746315 (i) on (i)","Pándey, Praveen Chandra  Pandey, Praveen Chandra   Pandey, P. C.   Pandey, Poorn Chandra   Pandey, Praveen C.   Pándey, P. C.","213","22","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"4 30367532300 (i) on (i)","Chakrabarti, Parthsarathi  Chakrabarti, Parthasarathi   Chakrabarti, Pinaki   Chakrabarti, Parthasarthi   Chakrabarti, Sanjeev P.   Chakrabarti, P.   Chakrabarti, P. P.","195","24","Indian Institute of Engineering Science and Technology, Shibpur","Howrah","India"
"","View last title","","","",""
"","","","","","",""
"5 57202625284 (i) on (i)","Rai, Devendra Kumar  Rai, D. K.   Rai, Devendra K.","188","27","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"6 57187861100 (i) on (i)","Ojha, Sant Prasad  Ojha, Sant P.   Ojha, S. P.","187","25","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"7 7103066056 (i) on (i)","Sharma, Yogesh Chandra  Sharma, Y. C.   Sharma, Y.   Sharma, Yogesh   Sharma, Yogesh C.   Sharma, Yogesh Ch   Chandra Sharma, Yogesh","187","56","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"8 57207179005 (i) on (i)","Singh, Vivek Kumar  Singh, Vivek   Singh, V.   Singh, Vivek K.   Singh, V. K.","187","19","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"9 7201368096 (i) on (i)","Mishra, Brahmeshwar  Mishra, B.   Mishra, Brahmeshwer   Mishra, Bhrameshwar","181","37","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"10 57206456618 (i) on (i)","Prakash, Om  PRAKASH, O. M.   Prakash, OM   Prakash, O. M.   Prakash, O.","151","18","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"11 7005789615 (i) on (i)","Dubey, Vikash Kumar  Kumar Dubey, Vikash   Dubey, Vikash K.","150","28","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"12 26031310600 (i) on (i)","Chatterjee, Sandip  Chatterjee, S.","148","22","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"13 57213716936 (i) on (i)","Pandey, Prem Chandra  Pandey, Prem   Pandeyz, Prem C.   Pandey, P. C.   Pandey, Prem C.","148","32","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"14 7101987416 (i) on (i)","Shukla, Kaushal Kumar  Shukla, Kaushal K.   Shukla, Kaushak K.   Shukla, K. K.   Shukla, K.","148","18","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"15 57208878180 (i) on (i)","Upadhyay, Sidhdh Nath  Upadhyay, Siddh Nath   Upadhyay, Siddh N.   Upadhyay, Sidh Nath   Upadhyay, S. N.","148","38","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"16 57189212828 (i) on (i)","Das, S.  Das, S.   Das, Subir","144","26","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"17 7006112883 (i) on (i)","Mandal, Rajiv Kumar  Mandal, Rajiv   Mandal, R. K.   Mandal, Rajiv K.","144","23","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"18 55463355100 (i) on (i)","Singh, Prabhakar K.  Singh, P.   singh, Prabhakar   Singh, Prabhakar   Singh, P. K.","144","23","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"19 55628574133 (i) on (i)","Mishra, Pradeep Kumar  MISHRA, Pradeep Kumar   Mishra, P. K.   Mishra, Pradeep K.","137","30","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"20 9846899800 (i) on (i)","Sarkar, Jahar  SARKAR, Jahar   Sarkar, J.","136","38","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"21 57212093679 (i) on (i)","Srivastava, Abhishek Kumar  Srivastava, A. K.   Srivastava, Ablishek K.   Srivastava, Abhishek   Srivastava, Abhishek K.","135","26","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"22 35795948900 (i) on (i)","Mohanty, Soumya R.  Mohanty, Soumya R.   Mohantv, Soumva Ranjan   Mohanty, S.   Mohanty, S. R.   Mohanty, Soumyaranjan   Mohanty, Soumya Ranjan","134","24","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"23 55452568900 (i) on (i)","Bhattacharyya, Somak  Bhattacharyya, S.","132","24","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"24 57157653900 (i) on (i)","Singh, Sushil K.  Kumar Singh, Sushil   Singh, Sushil K.   Singh, S. K.   Singh, Sushil Kumar   Singh, S.   Singh, S. K.S.","128","26","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"25 57217453051 (i) on (i)","Kumar, Dheeraj  Kumar, D.","127","18","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"26 57212846700 (i) on (i)","Singh, Amit Kumar  Singh, Amit   singh, Amit K.   Singh, A. K.   Singh, A. Kumar   Singh, Amit K.","126","17","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"27 16686765100 (i) on (i)","Krishnamurthy, Sairam  Sairam, Krishnamurthy   Sairam, K.   Sairam, Krisnamurthy   Sairam, Kirshnamurthy   Krishnamurthy, S.","124","33","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"28 35575906700 (i) on (i)","Singh, Vakil  Singh, V.   Singh, V. K.","123","28","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"29 55547114246 (i) on (i)","Srivastava, Vijay Kumar  Srivastava, V. K.   Srivastava, Vijay K.   SRIVASTAVA, Vijay Kumar   Srivastava, V.","123","25","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"30 56426644800 (i) on (i)","Srivastava, Rajeev  Srivastava, R.","122","16","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"31 56452060700 (i) on (i)","Das, Santanu  Das, S.","120","20","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"32 36729277100 (i) on (i)","Kishore, Nawal  Kishore, N.","115","22","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"33 7102090572 (i) on (i)","Lele, Shrinkant  Lele, S.   Lele, Shrikant","111","16","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
"","View last title","","","",""
"","","","","","",""
"34 57191437274 (i) on (i)","Prasad, Rameshwar Lakhan  Prasad, R.   Prasad, Ram L.   Prasad, Ram Lakhan   Prasad, Rameshwar   Prasad, R. L.   Prasad, Ram","111","27","Indian Institute of Technology Banaras Hindu University","Varanasi","India"
