"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 35226929900 (i) on (i)","Bahinipati, Seema  Bahinipati, S.","1058","96","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"2 7006069664 (i) on (i)","Mohanty, Uma Charan  Mohanty, Uma C.   Mohanty, U. C.","273","38","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"3 7006740732 (i) on (i)","Samantaray, S. R.  Samantray, S.   Samantaray, Subhransu R.   Samantray, S. R.   Samantaray, Subhransu Rajan   Samantaray, S. R.   Samantaray, Subhransu Ranjan","191","40","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"4 7005489395 (i) on (i)","Nando, Golok Bihari  Nando, Golok Behari   Nando, Golok B.   Nando, Golo K.B.   Nando, G. B.","183","32","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"5 15044890300 (i) on (i)","Mahapatra, Manas Mohan  Mahapatra, M. M.   Mahapatra, M.   Mahapatra, Manas M.   Mahapatra, Manas","168","37","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"6 7003499569 (i) on (i)","Satyam, Parlapalli Venkata  Satyam, P.   Satyam, P. V.   Satyam, Parlapali V.   Parlapalli, Venkata Satyam   Satyam, Parlapalli V.","163","30","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"7 7202853024 (i) on (i)","Nayak, Saroj Kumar  Nayak, Saroj K.   Nayak, S. K.   Nayak, S.   Nayak, Saroj","158","47","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"8 25822547900 (i) on (i)","Jha, Rajan  Jha, Rajana   Rajan, R. D.   Jha, R.   Jha","151","37","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"9 7004244705 (i) on (i)","Dhindaw, Brij Kumar  Dhindaw, Brij K.   Dhindaw, B. K.   Dhindaw, B.   Dhindaw, Briji Kumar   DHINDAW, B. K.","137","26","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"10 35408975400 (i) on (i)","Dogra, Debi Prosad  Prosad Dogra, Debi   Dogra, D. P.   Dogra, D.   Dogra, Debi P.","111","24","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"11 7006815673 (i) on (i)","Behera, Surjyo N.  Behera, S.   Behera, S. N.","104","17","National Institute of Science & Technology","Berhampur","India"
"","View last title","","","",""
"","","","","","",""
"12 6506728977 (i) on (i)","Puhan, Niladri Bihari  Puhan, Niladri B.   Puhan, N. B.   Puhan, Niladri   N.B., Puhan","101","15","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"13 7004444015 (i) on (i)","Sahoo, Nirod Chandra  Sahoo, N. C.   Sahoo, Nirod C.","101","21","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"14 23483309100 (i) on (i)","Vundavilli, Pandu Ranga  Vundavilli, Pandu R.   Vundavilli, Panduranga   Vundavilli, P. R.   Vundavalli, Pandu Ranga   Vundavalli, Pandu R.","99","15","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"15 56223101000 (i) on (i)","Panda, Rabindra Kumar  Panda, Rabindra K.   Panda, Rabindra   Panda, R. K.","93","23","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"16 39961232300 (i) on (i)","Dandela, Rambabu  Rambabu, Dandela   Dandela, R.   Rambabu, D.   Dandela, Ramababu","86","23","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"17 36651423400 (i) on (i)","Roy, Sujit  Roy, S.   Roy, Sujit Kumar   Roy, Sujit K.","85","34","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"18 6701567360 (i) on (i)","Pedireddi, Venkateswara Rao  Pedireddi, V. R.   Pedireddi, Venkateswara R.   Pedireddi, V. Rao   Pedireddi, Venkatesvara R.","78","31","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"19 23667484800 (i) on (i)","Haldar, Sumanta  Haldar, S.","73","14","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"20 6505548609 (i) on (i)","Vijayakrishna, Kari  Kari, Vijayakrishna","73","18","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"21 22937208700 (i) on (i)","Bhunia, Puspendu  Bhunia, P.","72","22","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"22 56257387100 (i) on (i)","Sahu, Prasant Kumar  Sahu, P. K.   Sahu, Prasant K.","69","11","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"23 34573277100 (i) on (i)","Sahu, Kamala Kanta  Sahu, K. K.   Sahu, Kamala K.   Sahu, Kamla Kanta","68","27","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
"24 35488669000 (i) on (i)","Sahu, Pravas Ranjan  Sahu, P. R.","67","12","Indian Institute of Technology Bhubaneswar","Bhubaneswar","India"
"","View last title","","","",""
"","","","","","",""
