"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"2001 56786319700 (i) on (i)","Berwal, Deepak","7","4","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2002 16509152800 (i) on (i)","Bhat, B. G.","7","2","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2003 56452361200 (i) on (i)","Bhat, Rahul","7","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2004 24377447100 (i) on (i)","Bhatt, Rama Krishna  Bhatt, R. K.","7","6","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2005 56924403600 (i) on (i)","Bhattacharya, Ayan","7","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2006 6701313622 (i) on (i)","Bhattacharya, H. P.","7","1","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2007 57162002400 (i) on (i)","Bhattacharyya, Surajit","7","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2008 55951567400 (i) on (i)","Bhide, Rahul S.  Bhide, Rahul   Bhide, R. S.","7","5","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2009 56684672400 (i) on (i)","Bhowmik, Amit","7","4","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2010 55319324100 (i) on (i)","Bichu, Shrirang  Bichu, S.","7","2","Bombay Hospital and Medical Research Centre","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2011 56685653700 (i) on (i)","Birajdar, Farjana S.  Birajdar, Farjana","7","1","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2012 57205889555 (i) on (i)","Biswas, Rathin","7","3","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2013 6506716064 (i) on (i)","Bobde, Vivek  BOBDE, V.   BOBDE, VIVEK   Bobde, V.","7","5","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2014 57208224447 (i) on (i)","Boopathi, Nithyapriya","7","3","IITB-Monash Research Academy","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2015 57191191643 (i) on (i)","Buch, Chintan","7","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2016 57204571600 (i) on (i)","Chakrabarti, Poulab","7","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2017 57091351000 (i) on (i)","Chakravarthy, Battula Kalyana  Chakravarthy, Battula K.   Chakravarthy, B. K.","7","2","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2018 7005075802 (i) on (i)","Chandrasekaran, V. S.  Chandrasekaran, V.","7","5","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2019 57194069626 (i) on (i)","Chandrasekhar, Trupti","7","5","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2020 56242107400 (i) on (i)","Changotra, Avtar","7","6","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2021 51664645700 (i) on (i)","Chaudhari, Dipak L.","7","3","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2022 55371072200 (i) on (i)","Chaurasia, Avinash Kumar  Chaurasia, Avinash","7","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2023 7102237133 (i) on (i)","Chhabra, Rajendra  Chhabra, Gaurav   Chhabra, Hemlata   Chhabra, Anjali   Chhabra, H.   Chhabra, Puneet","7","6","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2024 57203203842 (i) on (i)","Chhangte, Lalhruaizela","7","3","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2025 14419942800 (i) on (i)","Chhatre, Advait J.  Chhatre, Advait   Chhatre, A. J.","7","5","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2026 14324430500 (i) on (i)","Choudhary, Vijay Singh  Choudhary, V. S.","7","6","Defence Laboratory India","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"2027 57365911000 (i) on (i)","Choudhury, Debittree","7","3","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2028 57188994343 (i) on (i)","Chouhan, Shikhar  Chouhan, S.","7","4","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2029 7102003703 (i) on (i)","Daniel, Asha E.","7","4","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2030 54782297800 (i) on (i)","Das, Chandrani","7","6","Tata Consultancy Services India","Pune","India"
"","View last title","","","",""
"","","","","","",""
"2031 56019513100 (i) on (i)","Das, Diptendu","7","4","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2032 57213459684 (i) on (i)","Das, Sreya","7","4","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2033 7103175305 (i) on (i)","Dash, Raghunath N.  Dash, R. N.   Dash, Raghunath","7","2","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2034 55263706100 (i) on (i)","Date, Madhumita P.  Date, M. P.   Date, Madhumita","7","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2035 7003765903 (i) on (i)","Davenport, Kenneth G.  Davenport, K.","7","5","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2036 37072036600 (i) on (i)","De, Dipanwita","7","6","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2037 23667106100 (i) on (i)","Deodhar, Deepak K.  Deodhar, Deepak","7","4","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2038 57205687227 (i) on (i)","Desai, Akshaykumar N.  Desai, Akshay   Desai, Akshaykumar N.","7","4","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2039 56100070400 (i) on (i)","Desai, Sarika S.  Desai, Sarika   Desai Sarika, S.","7","5","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2040 7202826187 (i) on (i)","Desai, Shailesh R.  Desai, S. R.   Desai, S.","7","5","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
