"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 35227719200 (i) on (i)","Nandi, Basanta Kumar  Nandi, Basanta K.   Nandi, Basanta   Nandi, B.   Nandi, B. K.   Nandi, B.  K","706","124","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2 35228110500 (i) on (i)","Varma, Raghava  Varma, R.","526","114","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3 55541317300 (i) on (i)","Dash, Sadhana  Dash, S.","475","97","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"4 57192900310 (i) on (i)","Chakrabarti, Subhananda  Chakrabarti, S.   Chakrabarti, Shubhananda","421","29","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"5 34567632500 (i) on (i)","Banerjee, Piyali  Banerjee, P.","398","85","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"6 57204083493 (i) on (i)","Agarwal, Vivek  Agarwal, V.   Agarval, Vivek   Agarwal, Vivek","359","40","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"7 7005185245 (i) on (i)","Ramamritham, Krithi  Krithi, Ramamritham   Ramamritham, K.   Ramamritham, Krithivasan","357","49","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"8 35462660300 (i) on (i)","Singh, Trilok Nath  Singh, T. N.   Singh, Trilok N.   Singh, T.","352","54","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"9 7003788650 (i) on (i)","Ravikanth, Mangalampalli  Mangalampalli, Ravikanth   Ravikanth, M.","312","38","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"10 35454133100 (i) on (i)","Sahoo, Pragati  Sahoo, P.","306","51","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"11 7003781658 (i) on (i)","Lahiri, Goutam Kumar  Lahiri, G. K.   Lahiri, Goutam K.   Lahiri, Gautam K.   Kumar Lahiri, Goutam","305","50","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"12 57212921166 (i) on (i)","Sharma, Vikas Kumar  Sharma, Vikash   Sharma, Vikas̀ K.   Sharma, V.   Sharma, Vikas K.   Sharma, Vikas   Sharma, V. K.","299","39","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
