"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"201 14621934900 (i) on (i)","Roy, Shantanu  Roy, S.","99","26","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"202 35854246100 (i) on (i)","Agrawal, Monika  Agrawal, M.   Aggarwal, Monika","98","12","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"203 8675855400 (i) on (i)","Ahmad, Suhail  Ahmed, S.   Ahmed, Suhail   Ahmad, S.","97","19","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"204 21733787100 (i) on (i)","Ali, Wazed  Wazed Ali, S.   Ali, Syed Wazed   Ali, S. Wazed   Wazed Ali, Syed   Ali, S. W.","97","24","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"205 35203020100 (i) on (i)","Arora, Chetan","97","17","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"206 6602925349 (i) on (i)","Nabi, Mashuq Un  Un. Nabi, Mashuq   Nabi, M. U.   Mashuq-Un-Nabi, Mashuq un   Nabi, M.   Nabi, Mashuq   un-Nabi, Mashuq   Mashuq un Nabi, Mashuq   Un Nabi   Nabi","97","14","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"207 57191294058 (i) on (i)","Dash, Sushil Kumar  Dash, Sushil K.   Dash, S. K.","96","25","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"208 55496111400 (i) on (i)","Sharma, K. G.","96","18","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"209 8573896200 (i) on (i)","Sharma, Shilpi  Sharma, S.","96","20","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"210 7004050682 (i) on (i)","Agnihotri, O. P.A.  Agnihotri, O. P.","95","23","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"211 6701679530 (i) on (i)","Bijwe, Pradeep R.  Bijwe, P. R.","95","25","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"212 57214417830 (i) on (i)","Gupta, Achla K.  Gupta, A. K.   Gupta, Achla   Gupta, A.","95","33","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"213 8513240600 (i) on (i)","Das, Dipayan  Dasa, Dipayan   Das, D.","94","18","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"214 7004079626 (i) on (i)","Koul, Veena  Koula, Veena   Koul, V.","94","33","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"215 57205977836 (i) on (i)","Jha, Narendra Kumar  Jha, Narendra K.   Jha, N. K.","93","20","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"216 15056003000 (i) on (i)","Kashyap, Hemant K.  Kashyap, Hemant","93","28","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"217 6603008633 (i) on (i)","Shahu, Jagdish T.  Shahu, Jagdish Telangrao   Shahu, J. T.   Shahu, J. M.   Shahu, Jagdish T.   Shahu, Jagadish T.","92","17","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"218 36864631800 (i) on (i)","Haridas, V.  Haridas, V.   Haridas, Vattekat","91","23","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"219 55963402300 (i) on (i)","Mausam, null  Mausam, Mausam   Mausam, M.   Mausam","91","30","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"220 35838301500 (i) on (i)","Dube, Dinesh C.  Dube, D.   Dube, Dinesh   Dube, Denesh C.   Dube, D. C.","90","27","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"221 35070083400 (i) on (i)","Manna, B.  Manna, B.   Manna, Bappaditya","90","9","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"222 7006510512 (i) on (i)","Shahid, Mohammad Iqbal Bin  Shahid, Mohd   Shahid, Mohammad   Shahid, M.   Shahid, Md   Shahid, Mohammed","90","24","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"223 6508306094 (i) on (i)","Dharmaraja, Selvamuthu  Dharmaraja, S.   Selvamuthu, Dharmaraja","89","19","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"224 7003426255 (i) on (i)","Shorey, Rajeev  Rajeev, S.   Shorey, R.","89","19","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"225 6507105709 (i) on (i)","Sreenadh, Konijeti  Srieenadh, Konijeti   Sreenadh, K.","89","13","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"226 55478989200 (i) on (i)","Ghosh, Sourabh  Ghosh, S.","88","28","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"227 35564291900 (i) on (i)","Malhotra, Lalit Kumar  Malhotra, L.   Malhotra, L. K.   Malhotra, LK K.   Malhotra, Lalit   Malhotra, Lalit K.","88","21","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"228 8261623100 (i) on (i)","Rakshit, Dibakar  Rakshit, D.","88","16","The University of Queensland","Brisbane","Australia"
"","View last title","","","",""
"","","","","","",""
"229 57213924993 (i) on (i)","Sinha, Aloka  Sinha, A.","88","17","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"230 55798800800 (i) on (i)","Dixit, Abhisek  Dixit, A.","87","18","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"231 57206367009 (i) on (i)","Singh, Anup  Singh, A.","87","26","All India Institute of Medical Sciences, New Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"232 56262802000 (i) on (i)","Tandon, Naresh  Tandon, N.","87","25","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"233 56926363200 (i) on (i)","Vijay, Virendra Kumar  Vijay, Virendra K.   Vijay, V. K.","87","30","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"234 23569135500 (i) on (i)","Bhasin, Shubhendu  Bhasin, S.","86","18","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"235 7101665427 (i) on (i)","Dube, Shishir K.  Dube, S. K.","86","21","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"236 7401842947 (i) on (i)","Mukherjee, Ananda K.  Mukherjee, A. K.","86","13","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"237 57214692248 (i) on (i)","Mukhopadhyay, Samrat  Mukhopadhyay, S.","86","18","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"238 6603834140 (i) on (i)","Rengasamy, Raju Seenivasan  Rengasamy, R. S.","86","18","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"239 16438083100 (i) on (i)","Tripathi, Anita K.  TRIPATHI, A. K.   Tripathi, A. K.   Tripathi, Anita   Tripathi, A.","86","15","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"240 7201888744 (i) on (i)","Yadav, Surendra S.  Yadav, Surendra S.   Yadav, Surendra Singh   Yadav, S. S.","86","14","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"241 55765001015 (i) on (i)","Datta, Manoj  Datta, Manoja   Datta, M.","85","14","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"242 7203011086 (i) on (i)","Gomes, James  Gomes, J.","85","21","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"243 7201691854 (i) on (i)","Gupta, Hari Mohan  Gupta, H. M.   Gupta, Hari M.   Gupta, Hari","85","14","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"244 25824992800 (i) on (i)","Ingole, Pravin Popinand  Ingole, Pravin P.","85","20","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"245 57225972605 (i) on (i)","Jain, Arvind Kumar  Jain, Arvind K.   Jain, A. K.   Jain, Arvind","85","18","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"246 7005434302 (i) on (i)","Sekhon, G. S.  SEKHON, G. S.","85","18","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"247 6602915232 (i) on (i)","Nema, Arvind Kumar  Nema, Arvind K.   Nema, A. K.   Nema, Arvind","84","20","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"248 14523216800 (i) on (i)","Pavan Kumar, Govind V.  Kumar, G. V.Pavan   Kumar, G. V.P.   PavanKumar, G. V.   Kumar, G. V.Pawan   Kumar, Govind   Pavan Kumar, G. V.","84","21","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"249 57201180740 (i) on (i)","Verma, Anil  Verma, A.","84","22","AVATT Technologies Private Limited","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"250 6701646362 (i) on (i)","Bhaskarwar, Ashok N.  Bhaskarwar, Ashok   Bhaskarwar, A. N.","83","16","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"251 25122014500 (i) on (i)","Sheikh, Javed  Sheikh, Javed Nabibaksha   Sheikh, J.   Sheikha, Javed   Sheikh, Javed N.","83","17","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"252 56966376600 (i) on (i)","Dhir, Sanjay","82","20","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"253 47762083300 (i) on (i)","Dixit, Abhishek  DIxit, Abhishek   Dixit, A.","82","14","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"254 56577265000 (i) on (i)","Shukla, Aniruddha K.  Shukla, A. K.","82","20","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"255 7006428280 (i) on (i)","Bhatnagar, Mukesh Chander  Bhatnagar, Mukesh Chandra   Bhatnagar, M.   Bhatnagar, Mukesh   Bhatnagar, M. C.   Bhatnagar, Mukesh C.","81","22","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"256 55451791900 (i) on (i)","Bhattacharya, Saswata  Bhattacharya, S.","81","20","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"257 56527846200 (i) on (i)","Haider, M. Ali  Haider, M. ALI   Haider, Mohammad Ali   Haider, M. Ali   Haider, M. A.   Haider, Mohammad A.","81","22","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"258 55619311772 (i) on (i)","Kumar, Ajit  Kumar, A.","81","15","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"259 43761623400 (i) on (i)","Suri, Manan  Suri, M.","81","13","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"260 25930195400 (i) on (i)","Tuli, Suneet  Tuli, Saneet   Tuli, S.","81","19","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"261 14023958300 (i) on (i)","Banwet, Devinder Kumar  Banwet, Devinder K.   Banwet, D. K.","80","26","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"262 7203051902 (i) on (i)","Elias, Anil Jacob  Elias, A. J.   Elias, Anil J.","80","19","Indian Institute of Technology Delhi","New Delhi","India"
