"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 7405638726 (i) on (i)","Singh, Bhim  Singh, B. N.   Sing, Bhim   Singh, B. P.   Singh, B.   Singh, Brij N.   Singh, Bhim S.","2335","75","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"2 25637555100 (i) on (i)","Panigrahi, Bijaya Ketan  Panigrahi, Bk   Panigrahi, B. K.   Panigrahi, Bijay Ketan   Ketan Panigrahi, Bijaya   Panigrahi, bk   Panigrahi, B.   Panigrahi, Binay Ketan  					    Panigrahi, Bijaya   Panigrahi, Bijaya Kethan   Panigrahi, Bijaya K.","656","57","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"3 55849312100 (i) on (i)","Koul, Shiban Kishen  Koul, Siban K.   K. Koul, Shiban   Koul, Shiban K.   Koul, Shiban Kishan   Koul, S. K.   Koul, Shiban","546","22","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"4 56606361700 (i) on (i)","Mishra, Sukumar P.  Mishra, S.   Mishra, Sukumar   Mishra, Soumendra Kumar   Mishra, S. P.","424","47","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"5 7402899220 (i) on (i)","Ramgopal Rao, V.  Rao, V. R.   Rao, Ramgopal Valipe   Rao, Ramgopal S.   Ramgopal, Rao V.   Rao, V. Ramgopal   Rao, Ramgopal   Rao, Ramgopal V.   Ramgopal Rao, V.   Rao, S. Ramgopal   Rao, V.   Rao, Vishweshwara   V. Ramgopal Rao, Valipe Ramgopal   Rao","415","41","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"6 7005406958 (i) on (i)","Rathore, Anurag Singh  Rathore, Anurag E.   Singh Rathore, Anurag   Rathore, Anurag S.   Rathore, A. S.   Rathore, Anurog S.   Rathore, Anurag   Rathore, A.","410","39","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"7 7103015030 (i) on (i)","Tripathi, Vipin Kumar  Tripathi, Vipin   Tripathi, Vipin K.   Tripathi, V. K.   Tripathi, V.","404","28","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"8 7404234609 (i) on (i)","Gupta, Pradeep Kumar  Gupta, P. K.   Gupta, Pradeep K.   Gupta, Pradeep Kumarp   Gupta, Pooja   Kumar Gupta, Pradeep   Gupta, Pradeep   Gupta, P.","392","44","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"9 7202949674 (i) on (i)","Kaushik, Subhash Chandra  Kaushik, Subhash Chand   Kaushik, S.   Kaushik, Subhash C.   Kaushik, Shubhash C.   Kaushik, S. C.","389","57","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"10 7006203679 (i) on (i)","Ganguli, Ashok Kumar  Ganguli, Ashok   Ganguli, Ashok K.   Ganguli, A. K.   Ganguli, A.   Kumar Ganguli, Ashok","362","45","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"11 36067733400 (i) on (i)","Sharma, Ram Pal  Sharma, R. P.   Sharma, R.   Sharma, Ram P.","345","23","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"12 35421132000 (i) on (i)","Sharma, Vinod Prakash      Sharma, Vinod   Sharma, Vinod P.   Sharma, Vp   Sharma, V. P.   SHARMA, V. P.","311","37","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"13 7102461583 (i) on (i)","Bhan, Maharaj Krishan  Bhan, Maharaj Kumar   Bhan, Maharaj   Bhan, MK   Bhan, M.   Bhan, Maharaj Kishan   Bhan, Maharaj K.   Bhan, M. K.   Bhan, K. M.   Bhan, Maharaj Kishen","303","62","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"14 7403983397 (i) on (i)","Gupta, Munishwar Nath  Gupta, Munishwar N.   Gupta, M.   Gupta, MN   Gupta, Munishwer N.   Gupta, M. N.   GUPTA, MUNISHWAR N.   GUPTA, Munishwar N.   Gupta, Munishwar","291","49","Indian Institute of Technology Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
