"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1001 57225967985 (i) on (i)","Patel, P.","1","1","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1002 57659109800 (i) on (i)","Patel, Panchami","1","1","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1003 57205187778 (i) on (i)","Patel, Valay","1","0","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1004 56566494500 (i) on (i)","Patidar, Rajesh","1","1","Clemson University","Clemson","United States"
"","View last title","","","",""
"","","","","","",""
"1005 57223924895 (i) on (i)","Patil, Shubham","1","0","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1006 57223256308 (i) on (i)","Patle, Shubham","1","1","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1007 57899878700 (i) on (i)","Patnaik, Siddesh","1","0","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1008 57192952696 (i) on (i)","Patsariya, Rahul","1","1","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1009 57202987728 (i) on (i)","Pingale, Akshay","1","1","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1010 57197745205 (i) on (i)","Pinjari, N.","1","1","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1011 57216646156 (i) on (i)","Pinki","1","1","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1012 57223366029 (i) on (i)","Prabhakar, V. N.","1","1","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1013 57302633800 (i) on (i)","Prajapat, Vinod Kumar","1","1","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1014 57217568502 (i) on (i)","Prakash, Shiv","1","0","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1015 57205689105 (i) on (i)","Prasanna Kumar, D. Jaya","1","1","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1016 57409428400 (i) on (i)","Pratap Jadhav, Omkar","1","0","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1017 57204993503 (i) on (i)","Prathamesh, J.","1","1","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1018 57764799100 (i) on (i)","Prathmesh, Bhadane","1","0","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1019 57218562146 (i) on (i)","Prusty, Biswajit","1","1","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1020 57408861800 (i) on (i)","Puri, Mukul","1","1","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1021 57288505100 (i) on (i)","Purohit, Palak","1","1","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1022 57865229100 (i) on (i)","Raghuvanshi, Ankita","1","0","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1023 57221096447 (i) on (i)","Rai, Ayushi","1","1","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1024 57311158600 (i) on (i)","Raipurkar, Prarabdh","1","0","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1025 57669858500 (i) on (i)","Raj, Anukritika","1","0","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1026 57537800000 (i) on (i)","Raj, K. B.Pradeep","1","0","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1027 57224533657 (i) on (i)","Raj, Surender V.","1","0","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1028 57457219600 (i) on (i)","Rajput, Deeksha","1","1","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1029 57212389900 (i) on (i)","Rakesh, G.","1","1","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1030 57216687303 (i) on (i)","Ramu, Sangeetha","1","0","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1031 57225907394 (i) on (i)","Rana, Rwik","1","0","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1032 56153254100 (i) on (i)","Ranganath, Surendra","1","0","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"1033 57288867300 (i) on (i)","Rankawat, Nikita","1","0","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
