"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 35228014900 (i) on (i)","Sengupta, Anand S.  Sengupta, A. S.   Sengupta, Anand S.   Sen Gupta, Anand S.   Sen Gupta, A. S.   Sengupta, Anand","247","87","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"2 57217676952 (i) on (i)","Sharma, Vishnu Dutt  Sharma, V. D.   Sharma, V.   Sharma, Vishnu D.","126","19","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"3 55417035000 (i) on (i)","Mishra, Vimal  Mishra, V.","122","44","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"4 57215571971 (i) on (i)","Mehrotra, Surya Pratap  Mehrotra, Surya P.   Mehrotra, Surya Pratao   Mehrotra, S.   Mehrotra, S. P.","120","26","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"5 7103158845 (i) on (i)","Chakrabarty, Soumyabrata B.  Chakrabarty, Soumyabrata   Chakrabarty, Soumybrata   Chakrabarty, S. B.   Chakrabarty, S.","104","11","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"6 35564396600 (i) on (i)","Jain, Sudhir K.  Jain, S. K.   Jain, Sudnir K.   Jain, S.","103","23","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"7 7004184840 (i) on (i)","Mohapatra, Nihar Ranjan  Mohapatra, N.   Mohapatra, N. R.   Mohapatra, Nihar   Mohapatra, Nihar R.","100","11","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"8 24822183000 (i) on (i)","Raman, Shanmuganathan  Raman, Shanmugananthan   Raman, S.","99","13","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"9 35583052300 (i) on (i)","Saha, Biswajit  Saha, B.   Sah, B.","95","25","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"10 26639244000 (i) on (i)","George, Nithin V.  George, N. V.","93","19","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"11 26021383200 (i) on (i)","Misra, Neeldhara","92","16","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"12 24537626100 (i) on (i)","Pindoriya, Naran M.  Manji, Pindoriya Naran   Pindoriya, Naran M.   Pindoriya, N. M.   Pindoriya, Naran","91","18","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"13 35119157400 (i) on (i)","Lahiri, Uttama","81","13","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
