"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"601 42261869600 (i) on (i)","Khanna, Swati  Khanna, S.","14","12","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"602 55446541600 (i) on (i)","Krishna, K. V.  Krishna, K. V.   Krishna, Kanduru V.","14","4","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"603 57202396207 (i) on (i)","Kumar, Ramesh  Kumar, R.","14","3","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"604 55788371500 (i) on (i)","Kushwaha, Brijesh Kumar  Kushwaha, Brijesh K.","14","5","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"605 55240534100 (i) on (i)","Mahanta, Shakuntala  Mahanta, S.   Mahanta, Sushmita","14","3","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"606 57205063863 (i) on (i)","Maity, Surjendu","14","5","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"607 8158371100 (i) on (i)","Mohanta, Manoj Kumar  Mohanta, M. K.   Mohanta, Manoj K.   Mohanta, M.","14","6","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"608 56425557500 (i) on (i)","Mondal, Buddhadeb  Mondal, Buddahdeb","14","8","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"609 57213819957 (i) on (i)","Mondal, Somen","14","6","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"610 56730098100 (i) on (i)","Mustafa, Samim  Mustafa, S.","14","4","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"611 55479614400 (i) on (i)","Pal, Chandan","14","4","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"612 57193836774 (i) on (i)","Parbat, Dibyangana  Parbat, DIbyangana","14","8","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"613 57190383517 (i) on (i)","Poria, Anirudha","14","3","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"614 57200812485 (i) on (i)","Pradhan, Balaram","14","12","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"615 6602848705 (i) on (i)","Sajith, Gopalan  Sajith, G.   Gopalan, Sajith","14","2","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"616 57202074886 (i) on (i)","Sarkar, Tanumay  Sarkar, Tanumoy","14","7","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
