"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 57206266783 (i) on (i)","Kumar, Amit  Kumar, A.   Kumar, A. Sanjeev","366","41","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"2 9738354800 (i) on (i)","Nandi, Sukumar  Nandi, S.   Nandi, Sukurnar","364","23","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"3 7006941345 (i) on (i)","Baruah, Jubaraj Bikash  Baruah, Jubara B.   Baruah, Jubaraj B.   Baruah, Jubaraj   BARUAH, J. U.B.A.R.A.J.B.   Bikash Baruah, Jubaraj   Baruah, Jubarj Bikash   Baruah, J. B.","289","29","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"4 56208189100 (i) on (i)","Goyal, Arun  Goyal, A.   Goyal, Anin","244","36","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"5 35464697200 (i) on (i)","Das, Gopal  Das, G.","243","40","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"6 14630663000 (i) on (i)","Kunnumakkara, Ajaikumar B.  Kunnumakara, Ajaikumar B.   Kunnumakkara, Ajaikumar B.   Ajaikumar, K. B.   Kunnumakkara, Ajai B.   Kunnumakkara, Ajaikumar   Kunnumakkar, Ajaikumar B.   KunnumakkarA., Ajaikumar B.   Kunnumakara, A.   Kunnumakkara, Ajaikumar Bahulayan   Kunnumakkara, A. B.   Kunnumakkara, Ajaikomar B.","243","62","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"7 56962713700 (i) on (i)","Iyer, Parameswar K.  Iyer, Parameswar   Krishnan Iyer, Parameswar   Iyer, P.   Krishnan Iyer, Parmeswar   Iyer, Parmeswar Krishnan   Iyer, Parameswar Krishnan   Iyer, Parameswar K.   Iyer, P. K.","217","37","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
