"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"801 56638538500 (i) on (i)","Praneeth Varma, G. V.S.S.  Varma, G. V.S.S.Praneeth","6","2","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"802 57224645111 (i) on (i)","Prasad P, Syam  Prasad P., Syam","2","2","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"803 55668992100 (i) on (i)","Prasannakumar, Aiswarya","2","2","Indian Institute of Technology Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"804 57451215400 (i) on (i)","Prashant, Kumar","4","2","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"805 57209797265 (i) on (i)","Prathapaneni, Dimple Raja","2","2","Indian Institute of Technology Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"806 57015150300 (i) on (i)","Preethi, Kasirajan  Preethi, K.","2","2","Indian Institute of Technology Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"807 57188655405 (i) on (i)","Priyamvada, Y. B.","2","2","Indian Institute of Technology Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"808 57194798034 (i) on (i)","Priyanka, Pantula Devi","2","2","Indian Institute of Technology Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"809 57239952500 (i) on (i)","P.s, Rajalakshmi  P S, Rajalakshmi   P.S, Rajalakshmi","3","2","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"810 56494884800 (i) on (i)","Puli, Suresh","2","2","Indian Institute of Technology Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"811 57219271523 (i) on (i)","Pullaiah, Yerragudi  Yerragudi, Pullaiah","4","2","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"812 57202238074 (i) on (i)","Purushothaman, Srinithi","2","2","Indian Institute of Technology Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"813 57201339938 (i) on (i)","Rajanala, Sailaja","7","2","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"814 57203667077 (i) on (i)","Rajesh, K. V.  Rajesh, K.","7","2","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"815 57219113631 (i) on (i)","Rajput, Poonam","3","2","Indian Institute of Technology Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"816 55358313200 (i) on (i)","Rajua, Gembali  Rajua, G.","2","2","Indian Institute of Technology Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"817 57205206860 (i) on (i)","Ramesh, Yenda  Yenda, Ramesh","6","2","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"818 55234967100 (i) on (i)","Ramesh Sankar, Nandini  Sankar, Nandini Ramesh","7","2","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"819 57193685870 (i) on (i)","Ranjan, Shashank","5","2","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"820 57205907275 (i) on (i)","Ranjan, Shashi","2","2","Indian Institute of Technology Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"821 56816170700 (i) on (i)","Rao, A. Tirupathi","3","2","Indian Institute of Technology Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"822 57215870440 (i) on (i)","Rao, Koteswara","2","2","Indian Institute of Technology Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"823 57211191520 (i) on (i)","Rathod, B. D.S.","2","2","Indian Institute of Technology Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"824 57205652131 (i) on (i)","Rathor, Sachin","3","2","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"825 57205500540 (i) on (i)","Rautray, Priyabrata  Rautray, P.   Rautra, Priyabrata","9","2","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"826 57189688118 (i) on (i)","Raviteja, K. V.N.S.  Raviteja, Ph V.N.S.   Raviteja, K. V.N.S.   Raviteja, Kuppili","11","2","SRM University-AP","Mangalagiri","India"
"","View last title","","","",""
"","","","","","",""
"827 57215870585 (i) on (i)","Rayavarapu, Swarajya Madhuri","2","2","Indian Institute of Technology Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
