"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 56506326400 (i) on (i)","Desai, Shantanu  Desai, S.","516","85","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"2 16221852900 (i) on (i)","Das, Undurti Narasimha  Das, Undurti   Das, U. N.   Das., Undurti N.   Das., U. N.   Das, Undurti N.","579","69","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"3 35551753500 (i) on (i)","Murty, Budaraju Srinivasa  Murty, B. S.   Murthy, B. S.","454","60","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"4 7003438301 (i) on (i)","Hassanizadeh, S. Majid  Hassanizadeh, S. M.   Hassanizadeh, S. Majid   Hassanizadeh, Majid   Hassanizadeh, Seyed M.   Hassanizadeh, M.   Majid Hassanizadeh, S.","225","54","Universität Stuttgart","Stuttgart","Germany"
"","View last title","","","",""
"","","","","","",""
"5 26768331200 (i) on (i)","Somala, Surendra Nadh  Somala, Surendra N.   Somala, S.   Somala, S. N.   Somala, Surrendra Nadh","141","46","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"6 7004282124 (i) on (i)","Bhanu Sankara Rao, Kota Bhanu Sankara  Rao, K. B.S.   Rao, K. Bhanusankara   Rao, K. B.Sankara   Rao, Kota Bhanu Sankara   Bhanu Sankara Rao, Kota   Rao, K. Bhanu Sankaro   Bhanu Sankara Rao, K.   Rao, K. Bhanu Sankara   Rao, K. Bhanu sankara   Rao, Kota B.S.","220","44","University of Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"7 6701776259 (i) on (i)","Deepa, Melepurath  Deepa, M.   Melepurath, Deepa","208","41","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"8 56985930800 (i) on (i)","Sandilya, Saurabh  Sandilya, S.","251","41","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"9 7003783046 (i) on (i)","Eswaran, Vinayak  Eswaran, V.","142","37","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"10 35501897900 (i) on (i)","Vidyasagar, Mathuicumalli  Mathukumalli, Vidyasagar   Vidyasagar, Mathukunxlli   Vidyasagar, M.   Vidmsagar, M.   VIDYASAGAR M, Mathukumalli   Vidyasagar","287","37","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"11 57197411118 (i) on (i)","Subrahmanyam, Challapalli  Ch., Subrahmanyam   Subrahmanyam, C.   Subrahmanyam, C. H.   Subrahmanyam, C. Siva   Challapalli, Subrahmanyam   Subrahmanyam, Ch   Subramanyam, Ch   Subrahmanyam, Challapally","184","36","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"12 36242259000 (i) on (i)","Sudarsanam, Putla  Sudarsanam, P.   Putla, Sudarsanam","77","35","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"13 37028044200 (i) on (i)","Badhulika, Sushmee","180","33","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"14 36016810700 (i) on (i)","Kandimalla, Ramesh  Ramesh, Kandimalla   Kandimalla, R.   Kandimalla, Ramesh J.L.   Kandimalla, R. J.L.   Kandimalla, R. J.   Kandimalla, Ramesh J.   kandimalla, Ramesh","84","33","Kakatiya Medical College","Warangal","India"
"","View last title","","","",""
"","","","","","",""
"15 7102961266 (i) on (i)","Giri, Anjan Kumar  Giri, A.   Giri, Anjan   Giri, Anjan K.   Giri, A. K.  							    Giri, Anajn K.","226","32","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"16 35758727100 (i) on (i)","Kurra, Narendra  Kurra, N.","54","32","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"17 6602687276 (i) on (i)","Kanchana, Venkatakrishanan  Kanchana, Venkatakrishnan   Kanchana, V.   Venkatakrishnan, Kanchana","129","30","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"18 57203218300 (i) on (i)","Bhattacharjee, Pinaki Prasad  Bhattacharjeea, P. P.   Bhattacharjee, P. P.   Bhattacharjee, Pinaki P.","105","29","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"19 57205705447 (i) on (i)","Kumar, Rahul  Kumar, Ravi   Kumar, R.","51","27","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"20 7006104344 (i) on (i)","Panda, Tarun K.  Panda, Tarun K.   Panda, Tanin K.   Panda, T. K.   Panda, Tarun   Panda, Tarun Kanti","140","27","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"21 7404812655 (i) on (i)","Rao, Kotagiri Venkata  Venkata Rao, Kotagiri   Rao, K. Venkata   Venkata Rao, K.","42","27","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"22 23390090300 (i) on (i)","Sahu, Kirti Chandra  Sahu, K. C.   Sahu, Kirti C.","120","27","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
