"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"601 56449341400 (i) on (i)","Kadadi, Jaideep","1","0","Indian Institute of Technology Rajasthan","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"602 57444963800 (i) on (i)","Kahol, Aditya","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"603 57726783000 (i) on (i)","Kalirawana, Deepak","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"604 57211158895 (i) on (i)","Kamal Hazra, Nil","1","1","University of the Free State","Bloemfontein","South Africa"
"","View last title","","","",""
"","","","","","",""
"605 57223150672 (i) on (i)","Kaman, Sweta","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"606 57209568547 (i) on (i)","Kannattil, Hamid P.","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"607 57270839100 (i) on (i)","Kant, Vishav","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"608 56778059000 (i) on (i)","Khaleeq, Salman","1","1","Indian Institute of Technology Rajasthan","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"609 57688395500 (i) on (i)","Khan, Arani Ali","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"610 57224354895 (i) on (i)","Khan, Furkan","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"611 57198193035 (i) on (i)","Khandelwal, Shivang","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"612 57266497000 (i) on (i)","Khokar, Vivek","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"613 57310994000 (i) on (i)","Khurshid, Mahapara","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"614 57526958300 (i) on (i)","Krishna, Dhruv","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"615 56602551800 (i) on (i)","Krishna, T. Vamshi","1","1","Indian Institute of Technology Rajasthan","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"616 57218911031 (i) on (i)","Krishna Mariserla, Bala Murali","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"617 57191245213 (i) on (i)","Kulkarni, Siddharth S.","1","1","Indian Institute of Technology Rajasthan","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"618 57563144300 (i) on (i)","Kumar, Abhishek","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"619 57214211868 (i) on (i)","Kumar, Akshay R.","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"620 57205685755 (i) on (i)","Kumar, Dileep","1","1","Indian Institute of Technology Rajasthan","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"621 57216577718 (i) on (i)","Kumar, Manish","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"622 57750094100 (i) on (i)","Kumar, Rahul","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"623 57874662900 (i) on (i)","Kumar, Rajagopal Arun","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"624 57306815100 (i) on (i)","Kumar, Rakesh","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"625 57749416600 (i) on (i)","Kumar, Rakesh","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"626 57220843554 (i) on (i)","Kumar, Raushan","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"627 57423487300 (i) on (i)","Kumar, Sushil","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"628 57689051900 (i) on (i)","Kumar, Varun","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"629 57554956800 (i) on (i)","Kumar Parida, Sushanta","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"630 57209499460 (i) on (i)","Kumavat, Ajay","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"631 57669663700 (i) on (i)","Kundal, Sanchit","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"632 57487418500 (i) on (i)","Lakshman, Apoorva","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"633 57223289509 (i) on (i)","Mahapatra, Sipra","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"634 57221943383 (i) on (i)","Maheshwari, Dheeraj","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"635 57196451039 (i) on (i)","Maheshwari, Vinay","1","1","Indian Institute of Technology Rajasthan","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"636 57874705000 (i) on (i)","Maikap, Spandan","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"637 57246631100 (i) on (i)","Maiti, Somanka","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"638 57204178970 (i) on (i)","Malakarjun Patil, Shreyas","1","1","Indian Institute of Technology Rajasthan","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"639 57209106243 (i) on (i)","Malav, Indra Kumar","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"640 56778043900 (i) on (i)","Manda, Swathi","1","1","Indian Institute of Technology Rajasthan","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"641 57226563120 (i) on (i)","Mathur, Piyush","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"642 56669432200 (i) on (i)","Mazumdar, Mainak","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"643 57760884900 (i) on (i)","Mazumder, Sarmistha","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"644 55785555700 (i) on (i)","Mehandiratta, Yatin","1","0","Indian Institute of Technology Rajasthan","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"645 57846736700 (i) on (i)","Meher, Prahallad","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"646 57869405800 (i) on (i)","Mishra, Akanksha","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"647 57195612907 (i) on (i)","Mishra, Shirish","1","0","Indian Institute of Technology Rajasthan","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"648 57203681125 (i) on (i)","Mishra, Vaibhab","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"649 57220207287 (i) on (i)","Modh, Karan Sanjay","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"650 57223106219 (i) on (i)","Mohapatra, Sipra","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"651 57878559700 (i) on (i)","Mukhopadhyay, Sudipto","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"652 57829811800 (i) on (i)","Murali Krishna Mariserla, Bala","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"653 57541230500 (i) on (i)","Murthy, Venkatesh","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"654 57870365600 (i) on (i)","Nagal, Naresh","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"655 57274821800 (i) on (i)","Nakka, Sanket","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"656 57219611696 (i) on (i)","Narwal, Pooja","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"657 57538550100 (i) on (i)","Nath, P. Shabari","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"658 57473774700 (i) on (i)","Nath, Vikanksh","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"659 57194546266 (i) on (i)","Naveen, B.","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"660 57844773900 (i) on (i)","Naveen","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"661 57222359785 (i) on (i)","Nawaz Khan, Waris","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"662 57212425463 (i) on (i)","Nithin, V.","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"663 57200338774 (i) on (i)","Nk, Rakhi","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"664 57195940781 (i) on (i)","Paduru, Kandarpa Sai","1","1","Indian Institute of Technology Rajasthan","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"665 57219359038 (i) on (i)","Paliwal, Pratik V.","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"666 57369863900 (i) on (i)","Panda, Satya Prakash","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"667 57223141613 (i) on (i)","Panda, Shradha Suman","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"668 57680065800 (i) on (i)","Pandey, Abhinav","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"669 57747347900 (i) on (i)","Pandey, Atharva","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"670 57349715300 (i) on (i)","Pandey, Shikha","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"671 57851204800 (i) on (i)","Pant, B. P.","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"672 57349715400 (i) on (i)","Pareek, Pankaj","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"673 57222731430 (i) on (i)","Parella, Ravi Teja","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"674 57404929600 (i) on (i)","Parjanya, Rohith","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"675 57411380400 (i) on (i)","Parshv Jigneshkumar, Shah","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"676 57223348586 (i) on (i)","Parvathy, A.","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"677 57798973600 (i) on (i)","Pashikanti, Rohith Parjanya","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"678 57727212600 (i) on (i)","Patel, Avit","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"679 57205732061 (i) on (i)","Patel, Harish","1","1","Indian Institute of Technology Rajasthan","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"680 57225820736 (i) on (i)","Patel, Jaykumar","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"681 57198648803 (i) on (i)","Patel, Ritesh","1","1","Indian Institute of Technology Rajasthan","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"682 57211979945 (i) on (i)","Patel, Shreya","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"683 57220577902 (i) on (i)","Pathak, Vaibhav","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"684 57220209447 (i) on (i)","Patidar, Itisha","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"685 57201380674 (i) on (i)","Paul, Abhra","1","1","Indian Institute of Technology Rajasthan","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"686 57433445000 (i) on (i)","Paul, Parmod Kumar","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"687 57887822800 (i) on (i)","Pesala, Bala","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"688 57824030800 (i) on (i)","Phadkule, Saket Sanjay","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"689 57224493558 (i) on (i)","Pradhan, Rakesh Rosan","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"690 57610582700 (i) on (i)","Prakash, Ram","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"691 57224951003 (i) on (i)","Prakash, Ravi","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"692 57103281600 (i) on (i)","Prashanth, Pasunoori","1","1","Indian Institute of Technology Rajasthan","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"693 57813043600 (i) on (i)","R, Arun Kumar","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"694 57193320965 (i) on (i)","Rahangdale, Parag","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"695 57543141700 (i) on (i)","Rai, Prince Kumar","1","1","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"696 56088669600 (i) on (i)","Rai, Shivendra","1","0","Indian Institute of Technology Rajasthan","Boranada, Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"697 57485088600 (i) on (i)","Rai, Shubhanshu","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"698 57748641000 (i) on (i)","Raj, Akanksha","1","0","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
