"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 7005182122 (i) on (i)","Chaudhury, Santanu  Chaudhury, Santunu   Chaudhury, S.   Chaudhury, Santami","375","26","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"2 7102126899 (i) on (i)","Bandyopadhyay, Bijnan  Bandyopadhyay, B.   Bandyopdhyay, Bijnan","346","38","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"3 15061841400 (i) on (i)","Singh, Richa  Singh, R.   Singh, R. K.   Singh, R. S.   Singh, Rieha   Singh, Richas","314","47","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"4 55908650100 (i) on (i)","Vatsa, Mayank  Vatsa, Mayanak   Vatsa, M.","310","46","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"5 35552765000 (i) on (i)","Kashyap, Bhagawati Prasad  Kashyap, Bhagwati Prasad   Kashyap, Bhagwati P.   Kashyap, B. P.   Kashyap, Bhagawati P.   Kashyap, B.   Kashyap, Badri P.   Kashyap, Bhagavati Prasad   Kashyap, Bagwati Prasad","214","34","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"6 55606842300 (i) on (i)","Mitra, Amitava K.  Mitra, Amitava   Mitra, Amitav   Mitra, A.   Mitra, A. K.","212","18","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"7 24070216800 (i) on (i)","Dixit, Ambesh  Dixit, A.","179","25","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"8 36521240500 (i) on (i)","Kumar, Mahesh  Kumar, M.","157","26","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"9 7401481014 (i) on (i)","Agarwal, Ajay  Agarwal, A.","155","26","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"10 56494528900 (i) on (i)","Pandey, Chandan  Pandey, C.","130","33","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"11 35597471900 (i) on (i)","Banerjee, Subhashish  Banerjee, S.   Banerjeez, Subhashish","119","23","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"12 57235029700 (i) on (i)","Ghosh, Surajit  Ghosh, Subhajit   Ghosh, Surojit","118","25","Indian Institute of Chemical Biology","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"13 57221101995 (i) on (i)","Kumar, Atul  Kumar, A.","110","13","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"14 55349959000 (i) on (i)","Das, Debasis","106","13","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"15 15046468500 (i) on (i)","Chhibber, Rahul  Chhibber, R.","105","16","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"16 57214220793 (i) on (i)","Mishra, Amit  Mishra, A.   Mishra, Amit K.","100","25","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"17 8843947000 (i) on (i)","Bhatnagar, Gaurav  Bhatnagar, G.   Bhatnagar, Guarav","98","21","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"18 57207812767 (i) on (i)","Ghosh, Somnath N.  Ghosh, Somnath   Ghosh, S.   Ghosh, S. N.","98","13","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"19 6602114276 (i) on (i)","Mukerji, Mitali  Mukerji, M.   MUKERJI, M. I.T.A.L.I.   Mukerji, Mithali   MUKERJI, MITALI","98","26","Council of Scientific and Industrial Research India","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"20 6506036020 (i) on (i)","Rangra, Kamaljit  Rangra, K.   Rangra, K. J.   Rangra, Kamal Jit   Rangra, Kamljit   Rangra, Kmaljit   Rangra, Kamal J.","93","13","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"21 26427828000 (i) on (i)","Tiwari, Shree Prakash  Prakash Tiwari, Shree   Tiwari, S. P.   Tiwari, Shree P.","88","25","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"22 7003466505 (i) on (i)","Lobanov, Dmitriy N.  Lobanov, Dmitry   Lobanov, Dmitriy N.   Lobanov, Dmitry N.   Lobanov, D. N.   Lobanov, Dmitriy","85","14","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
