"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"801 6603300425 (i) on (i)","Vajpei, Avinash C.  Vajpei, A. C.","24","7","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"802 56225962300 (i) on (i)","Verma, Alok Ranjan  Verma, Alok R.","21","7","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"803 57221750068 (i) on (i)","Verma, Indresh","20","7","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"804 24781364600 (i) on (i)","Yadava, Manasij K.  Yadava, Manasij Kumar   Yadava, Manasij   Yadava, M. K.   Yadava, M.","23","7","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"805 57189657983 (i) on (i)","Abbas, Zafar","10","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"806 57191525848 (i) on (i)","Abraham, B. Moses  Abraham, B. M.   Moses Abraham, B.","31","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"807 57189690960 (i) on (i)","Agarwal, Akash","16","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"808 56412429900 (i) on (i)","Agarwal, Nikunj","7","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"809 55767815600 (i) on (i)","Agnihotri, Shantanu  Agnihotri, S.","12","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"810 57200368374 (i) on (i)","Ahmad, Rasool","7","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"811 57224890305 (i) on (i)","Amir, Mohd","7","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"812 56331228600 (i) on (i)","Anandababu, Karunanithi","8","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"813 8588030000 (i) on (i)","Apte, Pankaj A.","16","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"814 57214351657 (i) on (i)","Ashish","10","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"815 57195487957 (i) on (i)","Bandyopadhyay, Prasanta","11","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"816 57214619363 (i) on (i)","Banerjee, Joyita  Banerjee, J.","11","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"817 57205129315 (i) on (i)","Banerjee, Pritam","13","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"818 55383214600 (i) on (i)","Banerjee, Ramanuj","13","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"819 57201344881 (i) on (i)","Bangari, Raghubeer Singh  Bangari, Raghubeer S.","7","6","Graphic Era Hill University","Dehradun","India"
"","View last title","","","",""
"","","","","","",""
"820 57200586996 (i) on (i)","Basu, Aviru Kumar  Basu, Aviru","11","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"821 57509246000 (i) on (i)","Bej, Shyamal K.","6","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"822 23000211000 (i) on (i)","Bhalla, Kailash C.  Bhalla, K. C.","11","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"823 36996530600 (i) on (i)","Bhardwaj, Abhinav  Bhardwaj, A.","20","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"824 57207209134 (i) on (i)","Bhatia, Subash  Bhatia, S.","13","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"825 57201726224 (i) on (i)","Bhattacharjee, Sourav  Bhattacharjee, S.","14","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"826 8894826500 (i) on (i)","Bhattacharjya, Gitalee","6","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"827 56230401500 (i) on (i)","Bhattacharyya, Dipti  Bhattacharyya, D.","8","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"828 36542103000 (i) on (i)","Bikshapathi, Mekala","6","6","Indian Institute of Technology, Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"829 55531315900 (i) on (i)","Bishnoi, Bhupesh  Bishnoi, Bhopesh","18","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"830 57191539916 (i) on (i)","Chaki, Mriganka Shekhar  Chaki, M. S.   Chaki, Mriganka S.","17","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"831 57201434423 (i) on (i)","Chakradhary, Vishal Kumar  Chakradhary, Vishal K.   Kumar Chakradhary, Vishal","18","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"832 57197728001 (i) on (i)","Chandra, Dheeraj","7","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"833 24392485000 (i) on (i)","Chandrasekaran, Jayanthi","6","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"834 57210683478 (i) on (i)","Chaturvedi, Mahesh Chandra  Chaturvedi, M. C.   Chaturvedi, Mahesh C.","43","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"835 56781078600 (i) on (i)","Chauhan, Navya","7","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"836 55932756500 (i) on (i)","Chavan, Prakash N.","12","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"837 57209049004 (i) on (i)","Chhabra, Rajendra Prasad           Chhabra, Rajendra P.   Chhabra, R. P.","26","6","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"838 57163532700 (i) on (i)","Chhangani, Sumit  Chhangani, S.","12","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"839 57198006481 (i) on (i)","Chowdhury, Abhishek","7","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"840 26653309500 (i) on (i)","Dalal, Indranil Saha  Dalal, Indranil S.","11","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"841 57205755568 (i) on (i)","Das, Kamal","12","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"842 56047359800 (i) on (i)","Dasgupta, Aparajita S.  Dasgupta, A.   Dasgupta, Aparajita   Dasgupta, A. S.","7","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"843 55597628100 (i) on (i)","Dash, Jitendra Kumar  Dash, J. K.   Dash, Jitendra K.","17","6","Pondicherry University","Puducherry","India"
"","View last title","","","",""
"","","","","","",""
"844 6602334920 (i) on (i)","DattaGupta, Arpita  Dattagupta, Arpita   DattaGupta, A.","9","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"845 57192065363 (i) on (i)","Dwivedi, Vinod Kumar","12","6","Indian Institute of Science","Bengaluru","India"
"","View last title","","","",""
"","","","","","",""
"846 57212404244 (i) on (i)","Dwivedi-Agnihotri, Hemlata","13","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"847 37116669300 (i) on (i)","Ezhil Kumar, Perumal Kumaresan  Ezhil Kumar, P. K.","12","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"848 6602270534 (i) on (i)","Ghorpade, Bhawna  Ghorpade, B.","16","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"849 57220950632 (i) on (i)","Ghosh, Soumyajit","13","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"850 56749114200 (i) on (i)","Goswami, Yogesh","11","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"851 57198676919 (i) on (i)","Gupta, Anuradha  Gupta, A.","6","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"852 57213053498 (i) on (i)","Gupta, Kritika C.  Gupta, Kritika   Gupta, K.   Gupta, K. C.","20","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"853 56404741500 (i) on (i)","Gupta, Meenakshi","11","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"854 57226094411 (i) on (i)","Gupta, Sanjay Das  Gupta, S.   Gupta, Sanjay   Gupta, S. Das   Gupta, S. D.","15","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"855 55495238000 (i) on (i)","Gupta, Shilpi","26","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"856 57212178214 (i) on (i)","Gupta, Vivek","12","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"857 6602363831 (i) on (i)","Gupta-Bhaya, Pinaki  Gupta Bhaya, P.   Gupta-Bhaya, P.","19","6","Harish Chandra Research Institute","Allahabad","India"
"","View last title","","","",""
"","","","","","",""
"858 57188722813 (i) on (i)","Hooda, M. K.  Hooda, M. K.   Hooda, Manish   Hooda, Manish Kumar   Hooda, M.","22","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"859 7007127879 (i) on (i)","Hossain, Z.","9","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"860 55842881400 (i) on (i)","Ishwar-Kumar, C.  Ishwar-Kumar, C.","10","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"861 36198177700 (i) on (i)","Jagtap, Rahul","11","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"862 55183277200 (i) on (i)","Jaiswal, Arvind Kumar  Jaiswal, A. K.","8","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"863 57196258934 (i) on (i)","Jindal, Swati","8","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"864 35746675800 (i) on (i)","John Pal, Adabala  John Pal, Adabala Pal   John Pal, A. P.","6","6","Indian Institute of Technology, Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"865 57193028380 (i) on (i)","Joshi, Harshit","9","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"866 34872352700 (i) on (i)","Joshi, Nidhi","13","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"867 57220225492 (i) on (i)","Kapoor, Om Parkash  Kapoor, O. P.","13","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"868 7410320135 (i) on (i)","Khan, M. Amin  Khan, M. A.","6","6","Indian Institute of Technology, Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"869 8865991500 (i) on (i)","Kulshreshtha, Praveen","9","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"870 57214420178 (i) on (i)","Kumar, Akhilesh  Kumar, A.","20","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"871 57208356246 (i) on (i)","Kumar, Avinash","24","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"872 37034255100 (i) on (i)","Kumar, Devpriya","10","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"873 57881000500 (i) on (i)","Kumar, Manoj","7","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"874 57201826107 (i) on (i)","Kumar, Priyaranjan","8","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"875 57213857227 (i) on (i)","Kumar, Sarvesh","7","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"876 7203074985 (i) on (i)","Lal, Sohan  Lal, S.","8","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"877 57188554118 (i) on (i)","Lalchandani, Vipul  Lalchandani, V.","12","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"878 57194055839 (i) on (i)","Madanan, Umesh  Madanan, U.","17","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"879 9246128700 (i) on (i)","Mahanta, Debajit  Mahanta, D.","9","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"880 57210330694 (i) on (i)","Maharana, Jagannath","11","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"881 57212826276 (i) on (i)","Mahesh, S.","10","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"882 34870058800 (i) on (i)","Maity, Shubhra Bikash  Maity, Shubhra B.","9","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"883 57202283502 (i) on (i)","Maity, Somnath","7","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"884 55655155300 (i) on (i)","Maji, Abhishek  Maji, A.","12","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"885 57201359297 (i) on (i)","Maji, Ankur","16","6","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
