"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"2 7005577636 (i) on (i)","Bharadwaj, Parimal Kanti  Bharadwaj, P. K.   Bharadwaj, P.   Bharadwaj, Parlmal K.   Bharadwaj, Parimal K.   Bharadwaj, Parimal","271","56","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1 7006003609 (i) on (i)","Chandrasekhar, Vadapalli  Chandrasekha, V.   Chandrasekhar, V.","412","60","Tata Institute of Fundamental Research, Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"3 35479531700 (i) on (i)","Agarwal, Avinash Kumar  Agarwal, Avinash   Ágarwal, Avinash Kumar   Agarwal, A. K.   Kumar Agarwal, Avinash   Agarwal, Avinash K.   Agrawal, Avinash Kumar   Agarwal, A. Kumar","498","54","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"4 57198886459 (i) on (i)","Jain, Vijay Kumar  Jain, Vijay   Jain, Vijay K.   Jain, V.   Jain, V. K.","261","54","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"5 56657757000 (i) on (i)","Chhabra, Rajendra Prasad  Chhabra, Rajendra   Chhabra, Rajendra P.   Chhabra, R. K.   Chhabra, Raj P.   Chhabra, R.   Chhabra, R. P.   Chhabra, Raj   Chabra, R. P.","377","52","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"6 7005150925 (i) on (i)","Kundu, Debasis  Kundu, D.","299","52","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"7 57195261578 (i) on (i)","Singh, Vinod Kumar  Singh, V.   Singh, Vinod   Singh, Vinod K.   Singh, Vinay K.   Singh, V. K.   Singh, Vinay Kumar","208","52","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"8 57203774810 (i) on (i)","Kumar, Ashok V.  Kumar, A.   Kumar, Ashok   Kumar, Shok   Kumar, A. V.   Kumar, Ashaok   Kumar, Anant   KUMAR, ASHOK","433","51","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"9 21935606200 (i) on (i)","Tripathi, S. N.  Tripathi, Sachchida N.   Tripathi, S. N.   Tripathi, Sachi Nand   Tripathi, Sachchidanand   Tripathi, S.   Tripathi, Sachchida Nand   Tripathi, Sachchida   Tripathi, Sachida N.   Tripathi, Sachi N.","210","51","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"10 35480944700 (i) on (i)","Biswas, Gautam  Biswas, G.","210","48","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"11 57220877491 (i) on (i)","Ghosh, Tarun Kanti  Ghosh, Tarun K.   Ghosh, T. K.","144","46","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"12 55740373500 (i) on (i)","Singh, Sri Niwas  Singh, SN   Singh, S. N.   Singh, Sri N.","368","44","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"13 7003292237 (i) on (i)","Deo, Goutam  Deo, G.","112","43","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"14 55431745100 (i) on (i)","Chandra, Amalendu  Chandra, A.","203","42","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"15 35510161100 (i) on (i)","Mittal, Sanjay  Mittal, S.","145","42","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"16 55492136100 (i) on (i)","Kumar, Rajesh  Kumar, R.","93","41","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"17 7102497039 (i) on (i)","Verma, Nishith K.  Verma, Nishith K.   Verma, N.   Verma, Nishith","172","40","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"18 7202797149 (i) on (i)","Mukherjee, Rabindranath N.  Mukheriee, Rabindranath   Mukherjee, Rabindranath   Mukheriee, R. N.   Mukherjee, R. N.   Mukherjee, R.","164","39","Indian Institute of Technology (Indian School of Mines), Dhanbad","Dhanbad","India"
"","View last title","","","",""
"","","","","","",""
"19 56419590700 (i) on (i)","Mukhopadhyay, T.  Mukhopadhyay, T.   Mukhopadhyay, Tanmoy","103","39","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"20 7402857473 (i) on (i)","Sinha, Rajiv  SINHA, RAJIV   Sinha, R. K.   Sinha, R.","112","39","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
