"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"801 7402724596 (i) on (i)","Mishra, S.  Mishra, S.   Mishra, Sounaka","23","6","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"802 38361936500 (i) on (i)","Mukherjee, Kunal  Mukherjee, Kunal K.","23","6","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"803 57208710399 (i) on (i)","Nagendra, Shiva M.  Nagendra, S. M.Shiva   Nagendra, Shiva S.M.   Nagendra, S. M.","23","8","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"804 7005443146 (i) on (i)","Parameswaran, M. A.  PARAMESWARAN, M. A.","23","5","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"805 55569100200 (i) on (i)","Prasanna, P. Krishna  Prasanna, P. Krishna   Prasanna, Krishna   Prasanna, Krishna P.","23","5","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"806 9276783100 (i) on (i)","Puthenveettil, Baburaj A.  Puthenveettil, Baburaj A.","23","10","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"807 9044868000 (i) on (i)","Radhakrishnan, Swaminathan  Radhakrishnan, S.","23","7","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"808 7003947217 (i) on (i)","Raje, Salil  Raje, S.","23","9","Xilinx Inc.","San Jose","United States"
"","View last title","","","",""
"","","","","","",""
"809 15073245600 (i) on (i)","Rakshit, Sourav  Rakshit, S.","23","5","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"810 57212771522 (i) on (i)","Seshadri, V.","23","3","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"811 7004694232 (i) on (i)","Venkatesh, A.","23","6","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"812 56313494300 (i) on (i)","Yesudhas, Dhanusha","23","10","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
