"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 57226277190 (i) on (i)","Behera, Prafulla Kumar  Behera, Prafulla Ku   Behera, Prafulla K.   Behera, P. K.   Behera, P.   Behera, Prafulla","1590","119","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"2 55820982400 (i) on (i)","Libby, Jim  Libby, James F.   Libby, J.   Libby, J. F.   Libby, James","860","77","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"3 35308906500 (i) on (i)","Medvedeva, T.  MedveDeva, T.","726","113","University of Delhi","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"4 7006641708 (i) on (i)","Pradeep, T.  Pradeep, Talappil   Pradeep, Thalappil   Thalappil, Pradeep   Pradeep, T.","559","75","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"5 51663133900 (i) on (i)","Contreras-Campana, Emmanuel  Contreras-Campana, E.   Contreras- Campana, E.","503","100","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"6 35551753500 (i) on (i)","Murty, Budaraju Srinivasa  Murty, B. S.   Murthy, B. S.","454","60","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"7 30267895400 (i) on (i)","Pujahari, Prabhat R.  Pujahari, Prabhat R.   Pujahari, P.   Pujahari, Prabhat   Pujahari, P. R.","434","73","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"8 7005602178 (i) on (i)","Balasubramaniam, Krishnan  Balasubramaniam, K.   Balasubramaniam, K. K.   Balasubramaniam, K. S.","425","38","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"9 7102925688 (i) on (i)","Viswanathan, Balasubramanian  Viswanathan, B.   				      VISWANATHAN, Balasubramanian   Balasubramanian, Viswanathan   Viswanathan, Balasubramaniam","413","60","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"10 7404618275 (i) on (i)","Liu, Phillip Li Fan  Liu, Phillip L.F.   Liu, P. L.F.   Liu, Philip L.P.   Liu, Philip Li Fang   LIU, P. L.F.   L-F. Liu, Philip   Liu, Philip Li Fan   LIU, Philip L.F.   LIU, PHILIP L.F.   Liu, Philip L.F.   Liu, Philip","387","62","National University of Singapore","Singapore City","Singapore"
"","View last title","","","",""
"","","","","","",""
"11 20734150400 (i) on (i)","Doble, Mukesh  Mukesh, D.   Doble, M.   Mukesh, Double   Mukesh, Doble","384","56","Saveetha Dental College And Hospitals","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"12 9535936500 (i) on (i)","Ramaprabhu, Sundara  Sundara, Ramaprabhu   Ramaprabhu, S.   Ramaprabhu, Sundar","382","68","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"13 57202554197 (i) on (i)","Krajczár, Krisztián  Krajczar, K.","353","79","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"14 7102087090 (i) on (i)","Siva Ram Murthy, Chebiyyam  Murthy, C. Siva Ram   Murthy, Chebiyyam Siva Ram   Murthy, C. Civa Ram   Murthy, C. S.R.   Murthy, C. Shiva Ram   Siva Ram Murthy, C.","346","30","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"15 7006556058 (i) on (i)","Michael Gromiha, M.  Michael Gromiha, M.   Gromiha, M. Michael   Gromiha, Maria Siluvay Michael   GROMIHA, M. MICHAEL   Gromiha, Michael   Gromiha, Michael M.  	                Gromiha, M. M.","326","54","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"16 7003779585 (i) on (i)","Sarathi, Ramanujam  Sarathi, R.   Ramanujam, Sarathi","325","26","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"17 35965722600 (i) on (i)","Berndt, Christopher C.  Berndt, C.   Berndt, Chris   Berndt, Christopher   Berndt, C. C.   Berndt, Christoper C.   Berndt, Chris C.   Berndt, Christopher C.   Berndt, Christopher Charles","310","56","Swinburne University of Technology","Melbourne","Australia"
"","View last title","","","",""
"","","","","","",""
"18 6602183770 (i) on (i)","Jayaganthan, R.  JAYAGANTHAN, R.   Jayaganthan, R.   Jayaganthan, Rangaswamy   Jayaganthan, Rengaswamy","296","38","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"19 7005055280 (i) on (i)","Rajamani, Rajesh  Rajesh, Rajamani   Rajamani, R.","294","46","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
