"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"201 57201801880 (i) on (i)","Kumar, Tarun K.Vinod  Kumar, T. K.Vinod   Kumar, Tarun","12","5","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"202 57194340413 (i) on (i)","Lal, Surender  Lal, S.","12","4","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"203 25230304700 (i) on (i)","Pawar, Amit B.","12","10","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"204 57215819373 (i) on (i)","Ray, Rajeev","12","4","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"205 57202456045 (i) on (i)","Sharma, Lalita","12","6","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"206 57192423503 (i) on (i)","Sharma, Nitin  Sharma, N.","12","7","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"207 57207346491 (i) on (i)","Singh, Davinder","12","4","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"208 56779756200 (i) on (i)","Singha, Amit Kumar  Singha, A. K.","12","4","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"209 57201632993 (i) on (i)","Avasthi, Piyush Kumar  Avasthi, Piyush","11","6","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"210 57212353221 (i) on (i)","Bansal, Ankit  Bansal, A.","11","7","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"211 57114382300 (i) on (i)","Bhardwaj, Ajay","11","6","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"212 57190295085 (i) on (i)","Choudhury, Abhinav","11","4","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"213 55340373500 (i) on (i)","Dixit, Saumya","11","7","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"214 57197830454 (i) on (i)","Fuhrer, Erwin  Fuhrer, E.","11","5","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"215 56728764700 (i) on (i)","Jayapaul, Varunkumar  Jayapaul, Varukumar","11","2","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"216 57203248627 (i) on (i)","Mali, Naresh  Naresh, M.","11","3","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"217 56037950500 (i) on (i)","Sahani, Manoj Kumar  Sahani, Manoj   Sahani, M. K.   Sahani, Manoj K.","11","6","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"218 57201619416 (i) on (i)","Sangar, Shivendra  Sangar, S.","11","5","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"219 57196354763 (i) on (i)","Sharma, Priyamedha","11","2","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"220 57197820411 (i) on (i)","Shastri, Shivprasad S.","11","5","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"221 57210443564 (i) on (i)","Singh, Karan","11","2","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"222 57210800720 (i) on (i)","Singh, Vyoma","11","3","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"223 57212475309 (i) on (i)","Singh Rajpurohit, Bharat  Rajpourhit, B. S.","11","4","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"224 41262479100 (i) on (i)","Singla, Yash Paul  Singla, Y. P.   Singla, Yashpal   Singla, Yashpaul   Singla, Yash","11","7","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"225 56573832300 (i) on (i)","Gade, Maheshreddy","10","4","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"226 57200139012 (i) on (i)","Gulia, Preeti  Gulia, P.","10","4","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"227 57212590172 (i) on (i)","Kaur, Rimanpreet","10","3","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"228 57209161274 (i) on (i)","Lal, Sohan","10","4","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"229 57226667661 (i) on (i)","Mondal, Arnab Kumar  Mondal, Arnab   Mondal, Asit Kumar","10","6","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"230 57202149956 (i) on (i)","Rao, Akash K.  Rao, Akash","10","2","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"231 57212591589 (i) on (i)","Singh, Prem","10","5","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"232 57204939819 (i) on (i)","Sk, Shamim","10","2","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"233 36719876800 (i) on (i)","Anchala","9","4","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"234 57212584812 (i) on (i)","Anjum, Farhan","9","3","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"235 7202894215 (i) on (i)","Arora, Ravindra  Arora, R.","9","4","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"236 57204814616 (i) on (i)","Choubey, Abhinav","9","5","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"237 57208484963 (i) on (i)","Dhama, Soniya","9","3","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"238 57189257502 (i) on (i)","Karmakar, Saptarshi  Karmakar, S.","9","2","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"239 57222257477 (i) on (i)","Keshri, Anand Kumar  Keshri, Anand K.","9","1","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"240 57214420010 (i) on (i)","Kumar, Atendra","9","3","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"241 57224775811 (i) on (i)","Kumar, Vivek  Kumar, V.","9","3","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"242 57207457777 (i) on (i)","Lingwan, Maneesh","9","4","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"243 57191071652 (i) on (i)","Maqbool, Zahid","9","3","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"244 57196740044 (i) on (i)","Mushtaq, Aamir","9","7","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"245 57216860699 (i) on (i)","Nayak, Namyashree","9","3","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"246 57191618647 (i) on (i)","Panda, Deepsikha  Panda, D.","9","2","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"247 57214227561 (i) on (i)","Rawat, Suraj Singh  Rawat, Suraj S.","9","2","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"248 56090015900 (i) on (i)","Sagara, Prateep Singh  Sagara, P. S.","9","5","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"249 57204179445 (i) on (i)","Saini, Prashant","9","4","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
