"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 57221973593 (i) on (i)","Kumar, Ajay  Kumar, A.   Kumar, A. Vinod   Kumar, A. V.   kumar, Ajay","589","45","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"2 20735390600 (i) on (i)","Vaish, Rahul  Vaish, R.","295","33","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"3 6701522952 (i) on (i)","Behera, Laxmidhar  Behera, Laxmidar   Behera, Laxmidher   Behera, L.","283","28","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"4 7005545190 (i) on (i)","Gonsalves, Kenneth E.  Gonsalves, K.   E.gonsalves, Kenneth   Gonsalves, Ken   Gonsalves, Kenneth   Gonsalves, K. E.","228","34","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"5 9637731400 (i) on (i)","Kumar, Pradeep Sai Anil  Kumar, P.   Kumar, Pradeep   Kumar, P. Sai   Kumar, P. S.   Kumar, Prabhash","192","30","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"6 23097893400 (i) on (i)","Jain, Sathish Chandra  Jain, Satish   Jain, Satish Chandra   Jain, Sathish   Jain, S. C.   Jain, Satish C.","183","33","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"7 57307538900 (i) on (i)","Kumar, Amit  Kumar, A.","169","19","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"8 55247071500 (i) on (i)","Krishnan, Venkata  Krishnan, V.","163","41","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"9 23024059000 (i) on (i)","Abbas, Syed  Abbas, S.","155","22","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"10 6506204059 (i) on (i)","Rajpurohit, Bharat Singh  Rajpurohit, Bharat S.   Singh, Bharat   Rajpurohit, B. S.","155","15","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"11 57217697345 (i) on (i)","Kumar, Rajeev Suresh  Kumar, Rajeev   Kumar, R. Suresh   Kumar, R.","153","21","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"12 7402322460 (i) on (i)","Ray, Subrata  Ray, Subrat   Ray, S.","142","32","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"13 35187189600 (i) on (i)","Kashyap, Arti  Arti, Kashyap   Kashyap, A.","117","20","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"14 50861144500 (i) on (i)","Doddamani, M.  Doddamani, Mrityunajy   Doddamani, Mrityunjay   Doddamani, M.   Mrityunjay, Doddamani   Doddamani, Mrityunjay R.   Doddamani, M. R.","116","25","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"15 7004513260 (i) on (i)","Oruganti, Ramesh  Oruganti, R.   Oruganti, Rames   Ramesh, O.","115","28","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"16 55734227300 (i) on (i)","Sharma, Satinder Kumar  Shrama, Satinder K.   Sharma, S. K.   Sharma, Satinder   Sharma, Satinder K.","115","19","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"17 7004031702 (i) on (i)","VijayRaghavan, Krishnaswamy V.  VijayRaghavan, K.   Vijay Raghavan, K.   Vijayraghavan, Krishnaswamy   VijayRaghavan, Krishnaswamy   Raghavan, K. V.   VijayRaghavan, K. V.   Raghavan, K. Vijay   Vijayraghavan, K.","106","35","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"18 22234710100 (i) on (i)","Pandey, Sudhir K.  Pandey, Sudhir K.   Pandey, Sudhir Kumar   Pandey, S. K.","105","20","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"19 25521421900 (i) on (i)","Bhavsar, Arnav V.  Bhavsar, Arnav   Bhavsar, Atnav   Bhavsar, A. V.   Bhavsar, A.   Bhavasar, Arnav","102","13","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
"20 57193984829 (i) on (i)","Pradeep, Chullikkattil P.  Pradeep, Chullikkattill P.   Pradeep, Chullikkattil   Pradeep, Chullikkattil P.","101","25","Indian Institute of Technology Mandi","Mandi","India"
"","View last title","","","",""
"","","","","","",""
