"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"201 57286157200 (i) on (i)","Nair, Shilpa R.","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"202 57764675700 (i) on (i)","Naveen, K. M.","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"203 57272342300 (i) on (i)","Nayana, E. C.","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"204 57899987000 (i) on (i)","Noushija, Mannanthara Kunhumon","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"205 57509506500 (i) on (i)","P, Athira","1","1","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"206 57220806543 (i) on (i)","Paul, Rebecca Mary","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"207 57842840200 (i) on (i)","Peter, Anju Elizbath","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"208 57230086600 (i) on (i)","Prashant, Kausadikar Varad","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"209 57641602900 (i) on (i)","Rachala, Rohith Reddy","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"210 57220073253 (i) on (i)","Rahoof, T. P.Abdul","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"211 57225968042 (i) on (i)","Rajat, undefined  Rajat","1","1","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"212 57329332900 (i) on (i)","Rakesh, P. R.","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"213 57340074500 (i) on (i)","Ramya, Pritesh","1","1","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"214 57413381900 (i) on (i)","Ranjuna, M. K.","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"215 57220069037 (i) on (i)","Rathore, Sakshi","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"216 57404686900 (i) on (i)","Raveendranatha Panicker, Mahesh","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"217 57886997300 (i) on (i)","Reddy, Vemireddy Phanindra","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"218 57216335373 (i) on (i)","Revathy, B. S.","1","1","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"219 57338913600 (i) on (i)","Rithwik, P.","1","1","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"220 57864459400 (i) on (i)","S, Arun Rahul","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"221 57761357200 (i) on (i)","S, Vibha","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"222 57468613000 (i) on (i)","Sagila Gangadharan, K.","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"223 57562481000 (i) on (i)","Sahoo, Suvadipa","1","1","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"224 57223963001 (i) on (i)","Saminathan, Sakila","1","1","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"225 57235410900 (i) on (i)","Sebastian, Pinku","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"226 57220199424 (i) on (i)","Sekar, Rekha S.","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"227 57895789000 (i) on (i)","Sesha Giri, Krishna","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"228 57786945400 (i) on (i)","Shabana, Neermunda","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"229 57381961000 (i) on (i)","Shankar, P.","1","1","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"230 57208886594 (i) on (i)","Shanmuga Priyan, V. G.","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"231 57816027400 (i) on (i)","Shanmugapriyan, V. G.","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"232 57606476700 (i) on (i)","Shibu, Jeffin","1","1","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"233 57219794772 (i) on (i)","Siju, Sreejith           SIJU, SREEJITH","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"234 57615375000 (i) on (i)","Sivadas, P.","1","1","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"235 57553020000 (i) on (i)","Sudheesh, T. K.","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"236 57204693822 (i) on (i)","Sujatha, G.","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"237 57219970988 (i) on (i)","Sunil, Phule Anish","1","1","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"238 57461886700 (i) on (i)","Tarun Papa, Adithya Surya","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
"239 57745311000 (i) on (i)","Tattamangalam Raman, Raghuram","1","0","Indian Institute of Technology Palakkad","Palakkad","India"
"","View last title","","","",""
"","","","","","",""
