"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"401 57224117799 (i) on (i)","Ashok, Nischal","4","2","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"402 57225440745 (i) on (i)","Aslam, Nazia","4","1","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"403 57348488400 (i) on (i)","Baksi, Swapan Kumar","4","2","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"404 57223916244 (i) on (i)","Bandyopadhyay, Tirtha Sathi","4","2","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"405 57884523000 (i) on (i)","Bansal, DIksha  Bansal, Diksha","4","1","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"406 57215202700 (i) on (i)","Behera, Subrat Kumar","4","1","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"407 57219589518 (i) on (i)","Bhowmik, Debashis","4","0","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"408 57204098174 (i) on (i)","Chaitanya, Bathina  Chaitanya, B.","4","2","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"409 56437240100 (i) on (i)","Chakraborty, Anirban  Chakraborty, A.","4","2","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"410 57215608553 (i) on (i)","Chaudhari, Rohit Shyamkant  Chaudhary, Rohit Shyamkant   Chaudhari, Rohit","4","1","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"411 57204674408 (i) on (i)","Chauhan, Hardik","4","3","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"412 57208737321 (i) on (i)","Dhir, Rijul","4","4","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"413 57210853214 (i) on (i)","Dueby, Shivam","4","2","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"414 57221110257 (i) on (i)","Firoz, Mantasha","4","2","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"415 57213551213 (i) on (i)","Gaurav, Kumar","4","1","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"416 57202901185 (i) on (i)","Gouda, Rinku Kumar","4","3","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"417 57212203003 (i) on (i)","Gupta, Rishi Kumar","4","2","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"418 57203263157 (i) on (i)","Jana, Debi Pada","4","2","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"419 57208735214 (i) on (i)","Kanani, Chandresh S.","4","1","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"420 55699948600 (i) on (i)","Kapoor, Rajan","4","1","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"421 55791726900 (i) on (i)","Khatua, Pritiranjan","4","1","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
