"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 17435835500 (i) on (i)","Saha, Sriparna","427","27","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"2 7101803108 (i) on (i)","Bhattacharyya, Pushpak  Bhattacharya, Pushpak   Bhattacharyya, P.   Bhattacharya, P.","425","27","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"3 23093674100 (i) on (i)","Ekbal, Asif  Ekba, Asif","314","29","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"4 21834193800 (i) on (i)","Mathew, Jimson  Mathew, J.   mathew, Jimson","265","19","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"5 7005690130 (i) on (i)","Kar, Manoranjan  Kar, M.","191","27","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"6 24401825200 (i) on (i)","Shah, Neha  Shah, N.   Shah, Neil","164","47","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"7 6603319422 (i) on (i)","Nishchal, Naveen Kumar  Nishchal, Naveen K.","137","30","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"8 7103011646 (i) on (i)","Thakur, Awalendra Kumar  Thakur, A. K.   Thakur, Ajay D.   Thakur, Awalendra K.   Thakur, Awlendra Kumar","131","30","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"9 57210095386 (i) on (i)","Behera, Ranjan Kumar  Behera, Ranjan K.   Behera, R. K.   Behera, Ranjan   Behera, Rajan K.","114","13","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"10 57203052045 (i) on (i)","Parida, Sanjoy Kumar  Parida, Sanjoy K.   Parida, S. K.   Parida, Sanjoy","111","14","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"11 57193812712 (i) on (i)","Chakraborty, Debashis  Chakraborty, D.   Debashis Chakraborty","109","32","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"12 23501884100 (i) on (i)","Kumar, Preetam  Kumar, P.","105","16","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"13 56253698100 (i) on (i)","Patra, Karali  Patra, K.","103","22","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"14 56237962300 (i) on (i)","Majhi, Sudhan  Majhi, S.","102","16","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"15 36242290500 (i) on (i)","Tiwari, Pramod Kumar  Tiwari, P. K.   Tiwari, Pramod Kr","99","17","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"16 9234609800 (i) on (i)","Tripathi, Yogesh Mani  Mani Tripathi, Yogesh   Tripathi, Y. M.   Tripathi, Yogesh","98","14","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"17 35205917600 (i) on (i)","Keshri, Anup Kumar  Keshri, A. K.   Keshri, Anup K.   Kumar Keshri, Anup   Keshri, Anup","97","26","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"18 7103011829 (i) on (i)","Thakur, Ajay D.  Thakur, Ajai D.   Thakur, A.   Thakur, A. D.   Thakur, Ajay D.","96","15","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"19 8932151400 (i) on (i)","Das, Neeladri  Das, N.","95","25","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"20 7004202115 (i) on (i)","Seth, Debabrata","95","26","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"21 7203051070 (i) on (i)","Misra, Rajiv","93","12","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
"22 35759412500 (i) on (i)","Paul, Surajit Kumar  Paul, Surajit   Paul, S. K.   Kumar Paul, Surajit   Paul, Surajit K.","92","25","Indian Institute of Technology Patna","Patna","India"
"","View last title","","","",""
"","","","","","",""
