"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"801 56399022900 (i) on (i)","Mandal, Bibekananda  Mandal, B.","14","4","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"802 55220157000 (i) on (i)","Mogha, Sandeep Kumar  Mogha, Sandeep K.","14","5","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"803 57210885586 (i) on (i)","Mohammad, Pir","14","8","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"804 16216401800 (i) on (i)","Mohanty, Pratap Chandra  Mohanty, Pratap C.   Mohanty, Pratap","14","2","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"805 57190669010 (i) on (i)","Mourya, Satyendra","14","9","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"806 57192052511 (i) on (i)","Narang, Shikha  Narang, S.","14","6","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"807 57209346221 (i) on (i)","Nisar, Arshid","14","2","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"808 57212986353 (i) on (i)","Noorzaei, J.","14","11","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"809 57201456461 (i) on (i)","Pandit, Koushik  Pandit, K.","14","3","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"810 55961887600 (i) on (i)","Patel, Prayas Chandra  Patel, Prayas C.","14","5","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"811 54412938100 (i) on (i)","Pratap, Shivendra Rajesh  Pratap, Singh Rajesh   Pratap, Shivendra","14","7","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"812 57190811180 (i) on (i)","Raj, Hari  Raj, H.","14","7","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"813 57094764500 (i) on (i)","Rajasekaran, G.  Rajasekaran, G.","14","7","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"814 55542689900 (i) on (i)","Rastogi, Vibhore Kumar  Rastogi, Vibhore K.   Vibhore Kumar Rastogi, Vibhore   Rastogi, V. K.   Rastogi","14","7","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"815 57200775457 (i) on (i)","Ravindranath, Sham Sundar  Ravindranath, Sham   Ravindranath, Sham S.","14","4","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"816 57213109680 (i) on (i)","Ray, Avijeet","14","5","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"817 56575968500 (i) on (i)","Reddy, Tharun Kumar  Reddy, Tharun","14","7","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"818 57190847616 (i) on (i)","Saini, Shashank Sagar  Saini, Shashank S.","14","6","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"819 57192377506 (i) on (i)","Sauraj","14","9","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"820 57204734291 (i) on (i)","Shankar, Uday","14","7","Jeonbuk National University","Jeonju","South Korea"
"","View last title","","","",""
"","","","","","",""
"821 57215556199 (i) on (i)","Sharma, Kajal","14","5","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"822 57211422886 (i) on (i)","Sharma, Shubham C.  Sharma, S. C.   Sharma, S.   Sharma, Shubham","14","8","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"823 57211579082 (i) on (i)","Singh, Akshay Pratap  Pratap Singh, Akshay   Singhb, Akshay P.","14","5","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"824 16488780600 (i) on (i)","Singh, Divya","14","7","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"825 57222641147 (i) on (i)","Singh, Hemant","14","8","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"826 57216140087 (i) on (i)","Singh, Sanjay Kumar  Singh, S. K.   Singh, Sanjay K.","14","6","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"827 35612224100 (i) on (i)","Sinha, Bharoti  Sinha, B.","14","6","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"828 7102448636 (i) on (i)","Tewari, Abhishek  Tewari, A.","14","7","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"829 57197742781 (i) on (i)","Tiwari, Anuj","14","1","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"830 57209294016 (i) on (i)","Verma, Chhavi","14","5","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"831 56957959000 (i) on (i)","Vijay, Saurabh  Vijay, S.","14","9","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"832 57206589231 (i) on (i)","Banerjee, Soumyendu","13","6","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
