"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1 57021830600 (i) on (i)","Kumar Kaushik, Brajesh  Kaushik, Brajesh   Kaushik, Brijesh Kumar   Kaushik, Brajesh Kumar   Kaushik, B. K.   Kaushik Govind, B. K.   Kaushik, Brajesh K.","376","32","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"2 57203774508 (i) on (i)","Kumar, Ashok  Kumar, A.   Kumar, Asok   kumar, Ashok","310","32","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"3 7202793324 (i) on (i)","Goyal, Rajendra N.  Goyal, R. N.   Goyal, Rajendra N.   Goyal, Rajendra Nath   GoYAL, R. N.","298","47","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"4 23467551900 (i) on (i)","Pant, Millie  Pant, M.   Pant, Milie","292","33","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"5 36912015700 (i) on (i)","Singh, Dharmendra  Singh, D.   Singhb, D.","264","26","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"6 7004206177 (i) on (i)","Ojha, C. S. P.  Ojha, C. P.   Ojha, Chandrashekhar Prasad   Ojha, Chandra Sekhar P.   Ojha, Chandra S.P.   Ojha, Chandra Shekhar P.   Ojha, C. S.   Ojha, C. S.P.   Ojha, Chandra Shakhar P.   Ojha, Chandra   Shekhar Prasad Ojha, Chandra   Ojha, Chandra Shekhar Prasad   OJHA, C. S.P.   Ohja, C. S.P.   Ojha, Chandra Shekher P.","261","25","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"7 57193351909 (i) on (i)","Singh, Girish Kumar  Singh, G. K.   Kumar Singh, Girish   Singh, Girish K.","258","42","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"8 6603631347 (i) on (i)","Kartikeyan, Machavaram Venkata  Kartikeyan, Machavaram Venkateshwar   Machavaram, Kartikeyan V.   Kartikeyan, M. V.   Kartikeyan, Mac Havaram V.   Kartikeyan, Machavaram V.   Kartikeyan, Machavaram   MacHavaram, Kartikeyan V.   Kartikeyan, Mac Havazam V.   Kartikeyan, M.   Kartikeyan, Macha Varam","246","21","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"9 55952759400 (i) on (i)","Kumar, Pradeep  Kumar, P.   Kumar, Pradeed   Kumar, P. K.   KUMAR, P.","245","51","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"10 56880478500 (i) on (i)","Pratim Roy, Partha  Roy, P. P.   Pratim-Roy, Partha   Roy, Partha Pratim   Roy, Partha P.   Roy, P. Pratim","236","32","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"11 35517075500 (i) on (i)","Padhy, Narayana Prasad  Padhy, Narayana   Padhy, Narayan Prasad   Prasad Padhy, Narayana   Prasad Padhy, N.   Padhy, N. P.","233","35","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"12 35475516300 (i) on (i)","Kundu, Patit Paban  Kundu, Petit P.   Kundu, Patit P.   Kundu, P. P.","231","42","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"13 23135470700 (i) on (i)","Raman, Balasubramanian  Raman, B.   Balasubramanian, Raman   Raman, Balasubrmanian","231","27","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"14 7005426145 (i) on (i)","Bhushan, Ravi  BHUSHAN., R.   Bhushan, R.   BHUSHAN, R.","222","31","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"15 7402070856 (i) on (i)","Jain, Madhu  JAIN, MADHU   Jain, M.","220","22","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"16 35509207200 (i) on (i)","Roy, Partha  Roy, Parta   Roy, P.","219","33","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"17 6603548398 (i) on (i)","Harsha, Suraj Prakash  HARSHA, SP P.   Harsha, Suraj P.   Harsha, Suraj   Harsha, S. P.","216","32","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"18 8142901100 (i) on (i)","Sharma, Satish Chandra  Sharma, Satish C.   Satish, C. Sharma   Sharma, S. C.   Sharma, Satish   Sharma, Sathish","211","26","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"19 57212702052 (i) on (i)","Prasad, Rajendra  Prasad, R.   Prasad, Raiendra   Rajendra Prasad, B.","204","31","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"20 7005825645 (i) on (i)","Yadav, Kamlesh Kumar  Yadav, K. L.   Yadav, Kanhaiya   Yadav, Kanhaiya L.   Yadav, Kanhaiya Lal","198","38","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"21 57191737302 (i) on (i)","Dasgupta, Sudeb  Dasgupta, S.","196","21","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"22 9733363000 (i) on (i)","Agarwal, Pramod  Agrawal, Promod   Agarwal, Promod   Agarwal, P.   Agrawal, Pramod   Agrawal, P.","195","23","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"23 7003850867 (i) on (i)","Malik, Wahid Uddin  Malik, Wahid U.   Malik, W. U.","191","16","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"24 8561208900 (i) on (i)","Deep, K.  Deep, Kusum   Deep, K.","190","29","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"25 56591551200 (i) on (i)","Chandra, Ramesh  Chandra, R.","189","34","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"26 7401868829 (i) on (i)","Srivastava, Rajesh  Shrivastava, Rajeev   Srivastava, R.","186","19","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"27 7005255411 (i) on (i)","Maurya, Mannar Ram  Maurya, M. R.   Maurya, Manar Ram   Maurya, Mannar R.   Maurya, Mannan Rai   Maurya, Mannan Ram","183","49","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"28 57203389297 (i) on (i)","Justin Thomas, K. R.  Justin Thomas, K. Rajapandian   Thomas, K. R.J.   Justin Thomas, R.      Thomas, K. Rajapandian Justin   Justin Thomas, K. R.   Thomas, K. R.Justin   Thomas Justin, K. R.","181","51","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"29 35568239200 (i) on (i)","Bhargava, Devendra Swaroop  Bhargava, D. S.   Bhargava, Devendra S.   Bhargava, Davendra Swaroop","177","17","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"30 57204061377 (i) on (i)","Singh, Indra Vir  Singh, I. V.   Singh, I.","176","34","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"31 35459954300 (i) on (i)","Ghosh, Prakriti Kumar  Ghosh, P. K.   Ghosh, Prakriti K.","172","28","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"32 23668474600 (i) on (i)","Mishra, Indra Mani  Mishra, I. M.   Mishra, I.   Mishra, Indir Mani   Mani Mishra, Indra   Mishra, Indramani   Mishra, Indra M.","170","53","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"33 57649843400 (i) on (i)","Singh, Udai Pratap  Singh, U. P.   Singh, Udai P.","170","24","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"34 7004266679 (i) on (i)","Dwivedi, Dheerendra Kumar  Dwivedi, D. K.   Dwivedi, Dheerendra K.   DWIVEDI, D. K.","169","32","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
"35 7006364661 (i) on (i)","Rastogi, Vipul K.  Rastogi, V.   Rastogi, Vipul   Rastogi, V. K.","162","19","Indian Institute of Technology Roorkee","Roorkee","India"
"","View last title","","","",""
"","","","","","",""
