"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"3801 57199981908 (i) on (i)","Das, Madhumita  Das, M.","3","2","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3802 57346771400 (i) on (i)","Das, Manajit","3","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3803 56180115800 (i) on (i)","Das, Manas Ranjan  Das, Manas R.","3","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3804 57200909955 (i) on (i)","Das, Rahul Kumar  Das, R. K.","3","0","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3805 57219740749 (i) on (i)","Das, Rathindra Nath  Das, Rathindra N.","3","1","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3806 57365911100 (i) on (i)","Das, Rubul","3","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3807 56420538700 (i) on (i)","Das, Subhasis","3","2","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3808 57192423798 (i) on (i)","Das, Tumpa Raj  Das, Tumpa","3","1","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3809 16206610100 (i) on (i)","Dasgupta, Asmita","3","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3810 57195480602 (i) on (i)","Dasgupta, Sanghita","3","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3811 57214418889 (i) on (i)","Datta, A.","3","2","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3812 48661714200 (i) on (i)","Dave, Kashyap K.  Dave, Khyati K.   Dave, Kashyap","3","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3813 56704634700 (i) on (i)","De, Jyotiraman","3","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3814 57200286724 (i) on (i)","Deekshith, K.","3","2","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3815 57312549600 (i) on (i)","Deodhar, Bhakti","3","0","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3816 6507504201 (i) on (i)","Deokar, D. N.","3","1","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3817 21740450200 (i) on (i)","Deshmukh, Sandeep","3","1","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3818 57194557111 (i) on (i)","Deshmukh, Tanzil  Deshmukh, Tanzikl","3","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3819 57215870836 (i) on (i)","Deshpande, Harsh","3","0","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3820 57215775643 (i) on (i)","Deshpande, N. U.","3","1","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3821 57211170119 (i) on (i)","Dev, Amal","3","1","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3822 6506838098 (i) on (i)","Deval, S. D.","3","2","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3823 55538468500 (i) on (i)","Devanuj","3","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3824 57220598865 (i) on (i)","Dhakate, Mahesh M.  Dhakate, Mahesh M.","3","1","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3825 57830991500 (i) on (i)","Dhamale, Tushar","3","1","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3826 55616744800 (i) on (i)","Dhanapal, Sendhil Vigneshwar","3","1","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3827 57193647804 (i) on (i)","Dhanuja Lekshmi, J.","3","1","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3828 57202255213 (i) on (i)","Dhanya, T. M.","3","1","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3829 57198132409 (i) on (i)","Dhawan, Ritu","3","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3830 56110022200 (i) on (i)","Dhillon, Parveen","3","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3831 56040114600 (i) on (i)","Dhingra, Swinky  Dhingra, S.","3","2","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3832 57200209547 (i) on (i)","Dhounchak, Ranbir","3","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3833 57219353025 (i) on (i)","Dhua, Shyamal","3","0","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3834 55998491200 (i) on (i)","Digmurti, Madhuri G.  Digmurti, Madhuri","3","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3835 57218934682 (i) on (i)","Divse, Vishwas","3","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3836 57191039482 (i) on (i)","Divya, P.","3","2","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3837 57223771461 (i) on (i)","Diwan, Anuj","3","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3838 57219673125 (i) on (i)","Dixit, Amit","3","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3839 57885616300 (i) on (i)","Dixit, Gopal","3","0","Indian Institute of Technology Bombay","Mumbai","India"
