"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"3601 57202742901 (i) on (i)","Taksande, Pradnya Kiri  Kiri Taksande, Pradnya","4","3","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3602 57207878613 (i) on (i)","Talreja, Pratyush V.  Talreja, Pratyush","4","0","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3603 57225709722 (i) on (i)","Talukdar, M. K.  Talukdar, M. L.K.","4","1","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3604 7006015508 (i) on (i)","Tandon, V. K.  Tandon, V.K.","4","1","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3605 57207876747 (i) on (i)","Tanksale, Abhijit A.  Tanksale, Abhijit","4","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3606 57305352600 (i) on (i)","Tejwani, Ravi  Tejwani, R.","4","3","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3607 54931278000 (i) on (i)","Thaker, Viral","4","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3608 57189762434 (i) on (i)","Thakur, Sachin Kumar  Thakur, Sachin K.","4","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3609 56540835000 (i) on (i)","Thakur, Sanchari","4","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3610 57201030013 (i) on (i)","Tharkar, Ankush D.  Tharkar, Ankush D.","4","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3611 6506847555 (i) on (i)","Thirtha, D. Govinda  Thirtha, D.Govinda   Thirtha, D.Govinda","4","1","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3612 6507237411 (i) on (i)","Thirumalaiah, Konda  Thirumalaiah, K.","4","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3613 57204953492 (i) on (i)","Thirunavukkarasu, A.","4","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3614 55504065900 (i) on (i)","Thomas, Anu","4","4","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3615 57217312118 (i) on (i)","Thorat, Mahesh","4","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3616 56716193900 (i) on (i)","Tibrewal, Harshvardhan","4","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3617 57221870171 (i) on (i)","Tikariha, Lomesh","4","3","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3618 6506162726 (i) on (i)","Tikku, Sonia  Tikku, S.","4","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3619 37018815900 (i) on (i)","Tiwari, Manu D.","4","4","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3620 57202418918 (i) on (i)","Tiwari, Rishu","4","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3621 57209499827 (i) on (i)","Tomar, Manu","4","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3622 57200869812 (i) on (i)","Topkar, Anita  Topkar, A.","4","2","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3623 57215833336 (i) on (i)","Tripathi, Manish  Tripathi, Akash","4","1","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3624 57194765054 (i) on (i)","Tripathi, Vaibhav","4","4","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3625 57203115803 (i) on (i)","Trivedi, Dipesh B.  Trivedi, DIpeshkumar B.","4","2","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"3626 39062217800 (i) on (i)","Trivedi, Sharad  Trivedi, S.","4","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
