Name,link,citations
Dr. Prem Kumar Singh,https://scholar.google.com/citations?hl=en&user=FFmAj_MAAAAJ,"Cited by
Cited by,131,116,81,72,67,52,52,50,48,44,44,41,40,37,35,35,34,33,29,29"
Prof. Khalid Moin ,https://scholar.google.co.in/citations?hl=en&user=97XS7VcAAAAJ,"Cited by
Cited by,11,6,5,4,4,2,2,2,2,1,1,1,1,1,1,1,1"
Prof. Gauhar Mehmood,https://scholar.google.co.in/citations?user=YE8SWWEAAAAJ,"Cited by
Cited by,1424,92,56,34,4,4,3,3,2,2,1"
Prof. Shamshad Ahmed,https://scholar.google.co.in/citations?hl=en&user=sOAI79gAAAAJ,"Cited by
Cited by,459,124,119,89,74,56,37,33,18,16*,15,15,6,6,4,4,3,3,2,2"
Dr. Md. Imteyaz Ansari,https://scholar.google.co.in/citations?hl=en&user=A4ATXMEAAAAJ,"Cited by
Cited by,34,29,28,10,7,7,6,2,2,2,1"
Mr. Ibadur Rahman,https://scholar.google.co.in/citations?hl=en&user=iUA0BsoAAAAJ,"Cited by
Cited by,5,3,1,1"
Dr. Abid Ali Khan,https://scholar.google.co.in/citations?hl=en&user=JB34xuMAAAAJ,"Cited by
Cited by,205,79,58,45,42,34,33,30,28,28,26,25,22,21,20,19,19,18,18,17"
Dr. Akil Ahmed,https://scholar.google.com/citations?hl=en&user=3kPdGR8AAAAJ,"Cited by
Cited by,102,61,41,31,27,27,25,20,16,13,11,6,6,4,4,2,2,2,1,1"
Dr. Azhar Husain,https://scholar.google.co.in/citations?hl=en&user=WZHqKvYAAAAJ,"Cited by
Cited by,101,17,17,15,5,5,5,5,3,3,1,1,1,1,1"
Dr. Sayed M. Muddassir,https://scholar.google.co.in/citations?hl=en&user=-gzb9OMAAAAJ,"Cited by
Cited by,1"
Prof. Kafeel Ahmed,https://scholar.google.co.in/citations?user=bk0xWtUAAAAJ&hl=en,"Cited by
Cited by,1424,397,326,276,245,108,106,92,56,46,35,34,34,29,26,25,24,20,17,17"
Prof. Naved Ahsan,https://scholar.google.co.in/citations?hl=en&user=BPzypg8AAAAJ,"Cited by
Cited by,102,21,13,13,10,8,6,5,5,5,5,4,3,2,2,1,1,1,1,1"
Prof. Asif Husain,https://scholar.google.co.in/citations?user=Mfs0pu4AAAAJ,"Cited by
Cited by,120,39,17,7,7,5,5,4,3,3,3,3"
Prof. Sirajuddin Ahmed,https://scholar.google.co.in/citations?hl=en&user=SVSSu28AAAAJ,"Cited by
Cited by,441,153,127,107,101,97,73,69,64,51,41,41,40,39,37,36,34,33,30,30"
Prof. Mohd Sharif,http://scholar.google.co.in/citations?user=UgyHDYsAAAAJ&hl=en,"Cited by
Cited by,659,223,218,171,168,118,118,97,52,33,22,21*,20,19,19,18,14,13,13,12"
Prof. Quamrul Hassan,https://scholar.google.co.in/citations?user=kb7NfaQAAAAJ&hl=en,"Cited by
Cited by,112,10,8,5,5,4,3,3,3,3,2,1,1"
Prof. Nazrul Islam,https://scholar.google.co.in/citations?hl=en&user=Kstm4NEAAAAJ,"Cited by
Cited by,50,28*,27,18*,13,13*,13*,11*,11,11,11,9,8*,7,6,6,6,6,5,5"
Prof. Farhan A. Kidwai,https://scholar.google.co.in/citations?hl=en&user=ozVmOdMAAAAJ,"Cited by
Cited by,82,66,55,38,3,2,2"
